tender_id,award_file,award_pages,award_template,award_ministry,award_ministry_id,award_agency,award_agency_id,award_procuring_entity,award_procuring_entity_id,award_procuring_entity_code,award_district,award_for,award_method,award_source_of_funds,award_development_partner,award_project,award_project_id,award_invitation_ref,award_package_no,award_package_name,contract_no,contract_description,work_location,winner,winner_id,winner_page,winner_location,winner_tenderer_id,contract_value_taka,contract_value_original,advertised_date,noa_date,signed_date,work_start_date,work_completion_date,tenders_sold,tenders_received,tenders_responsive,bid_counts_printed,performance_security_on_time,contract_signed_on_time,award_officer,award_officer_id,award_officer_designation,beneficial_owners
1002854,Contract_Awards_PDFs/Tender_1002854.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Office of the Superintending Engineer (Electrical),og0011,,Dhaka,Works,OTM,Own Fund Own fund,NA,Lift and Electrical Equipement Repare,pr0006,Rajuk/Electrical-2/24/W-02,Rajuk/Electrical-2/24/W-02,"03 (Three) Years Servicing, Operation & Maintenance of 02 Nos. 630 KG Passenger Lift in Mohakhali Rajuk Zonal Office.",25.39.0000.064.07.005.2024,"03 (Three) Years Servicing, Operation & Maintenance of 02 Nos. 630 KG Passenger Lift in Mohakhali Rajuk Zonal Office.",Mohakhali Rajuk Zonal Office,PROPERTY DEVELOPMENT LIMITED,co0010,1,"PRAN-RFL Center, 105 Pragati Sarani, Middle Badda, Dhaka-1212, Bangladesh",,1703786.4,1703786.400,2024-08-28,2024-12-18,2025-01-14,2024-10-02,2027-10-01,2,1,1,yes,yes,yes,MOHAMMAD NAZMUS SAKIB JAMALI,pp0007,Sup. Eng. (Elec.),0
1003623,Contract_Awards_PDFs/Tender_1003623.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Uttara Apartment Project,og0012,,Dhaka,Goods,OTM,Own Fund Own Fund,NA,NA,pr0003,RAJUK/UAP/PD/IFT/Generator-R10,UAP/EM/2023-2024/GD-10,"Supply, Installation, Testing and Commissioning of Automatic Synchronized Emergency Power Supply Panel along with 06 Nos. 250KVA Diesel Generator for the Commercial Complex including Community Center & Kitchen Super shop under the Project of ""Construction of Residential Apartment Building for Low & Middle Income Group of people at Sector-18, Block-A, Uttara, Dhaka.",RAJUK/UAP/PD/IFT/Generator-R10-Gess,"Supply, Installation, Testing and Commissioning of Automatic Synchronized Emergency Power Supply Panel along with 06 Nos. 250KVA Diesel Generator for the Commercial Complex including Community Center & Kitchen Super shop under the Project of ""Construction of Residential Apartment Building for Low & Middle Income Group of people at Sector-18, Block-A, Uttara, Dhaka.",Sector-18 Block-A Uttara Dhaka,Gess Bangladesh,co0011,1,"53-54 ,Gess Bangladesh ,Ocean City ,Chakaria ,Cox'sBazar",,98995747.688,98995747.688,2024-07-14,2024-09-26,2024-10-24,2024-08-07,2024-12-31,3,3,3,yes,yes,yes,Mohammad Muzaffar Uddin,pp0004,PD (Uttara Appartment),0
100483,Contract_Awards_PDFs/Tender_100483.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director(Silimpur),og0013,,Chittagong,Works,OTM,Own Fund Own fund,NA,Widening and Improvement of Silimpur Residential Area (East),pr0007,pd/silimpur-R/A/A/E-17,e-TENDERSRA-06,Site Development/Improvement Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A East,pd/silimpur-R/A/E-17/118,"Site Development/Improvement, Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A (East)",Silimpur,M/S. Raquib & Brothers,co0012,1,"34/B, Buddhist Temple Road, Nandankanan, Chittagong.",,53515977.894,53515977.894,2017-05-02,2017-06-19,2017-07-03,2017-06-21,2018-06-20,4,4,4,yes,yes,yes,Mohammad Hasan,pp0008,Project Director,0
1007300,Contract_Awards_PDFs/Tender_1007300.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Superintending Engineer (Civil Circle-4),og0014,,Dhaka,Works,OTM,Own Fund Own Fund,NA,NA,pr0003,RAJUK/SECC-4/Road-13,RAJUK/SECC-4/Road-13,"Repair & renovation work of Av#01 (Partly) in/c internal road of Block-A1 of Sector-15 at Uttara Residential Area of RAJUK, Dhaka.",RAJUK/SECC-4/Road-13,"Repair & renovation work of Av#01 (Partly) in/c internal road of Block-A1 of Sector-15 at Uttara Residential Area of RAJUK, Dhaka.",Uttara Residential Area of RAJUK,HAIDER & CO.,co0013,1,"1/1 KAMALAPUR BAZAR ROAD, DHAKA",,25463336.391,25463336.391,2024-09-25,2024-12-01,2024-12-29,2024-12-15,2025-06-13,15,12,9,yes,yes,yes,Md Mobarak Hossain,pp0009,Superintending Engineer,0
1008472,Contract_Awards_PDFs/Tender_1008472.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Office of the Superintending Engineer (Electrical),og0011,,Dhaka,Works,OTM,Own Fund Own fund,NA,Construction of Staff Quarter for officer/employees,pr0008,RAJUK/Electrical-2,RAJUK/Electrical-2,"Electrical works of 84 Nos. Flat in Building No-12/B, (Tista-1) at Uttara Apartment (Block-A, Sector No-18).",RAJUK/Electrical-2,"Electrical works of 84 Nos. Flat in Building No-12/B, (Tista-1) at Uttara Apartment (Block-A, Sector No-18).",Uttara Apartment Project,T.S Enterprise,co0014,1,"28, Malibagh Chowdhury Para, Dhaka.",,5262343.2,5262343.200,2024-08-19,2024-09-12,2024-10-01,2024-09-18,2024-11-17,5,5,2,yes,yes,yes,MOHAMMAD NAZMUS SAKIB JAMALI,pp0007,Sup. Eng. (Elec.),0
1008542,Contract_Awards_PDFs/Tender_1008542.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/100,RAJUK/PD_Purbachal/100,"Construction of Remaining Internal Road and Surface Drain at Sector - 16(part) of Purbachal New Town Project (Package-PNTP/RDC/S-16, Lot-03).",RAJUK/PD_Purbachal/100,"Construction of Remaining Internal Road and Surface Drain at Sector - 16(part) of Purbachal New Town Project (Package-PNTP/RDC/S-16, Lot-03).",Purbachal New Town Project,CONVOY SERVICE,co0015,1,"ABC Skyrise Tower, Level 2 Shahjalal Avenue, Sector No. 04, Uttara, Dhaka-1230, Bangladesh.",,12005364.51,12005364.510,2024-08-20,2024-10-17,2024-11-11,2024-10-01,2024-12-30,14,10,3,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1008543,Contract_Awards_PDFs/Tender_1008543.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/101,RAJUK/PD_Purbachal/101,"Maintenance and Renovation of Internal Road & Surface Drain at Sector -09 (part) of Purbachal New Town Project (Package# PNTP/RP/S_09, Lot-01).",RAJUK/PD_Purbachal/101,"Maintenance and Renovation of Internal Road & Surface Drain at Sector -09 (part) of Purbachal New Town Project (Package# PNTP/RP/S_09, Lot-01).",Purbachal New Town Project,M/S. A. R. Enterprise,co0016,1,"House-08, Road-02, Diyabari, Uttara, Dhaka-1230 Contact No:01935968075, 01707568905",,26924826.217,26924826.217,2024-08-20,2024-10-17,2024-11-11,2024-10-01,2024-12-30,15,15,4,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1008544,Contract_Awards_PDFs/Tender_1008544.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/102,RAJUK/PD_Purbachal/102,"Construction of Remaining Internal RCC Road and Surface Drain at Sector-07 (part) Purbachal New Town Project. (Package: PNTP/RDC/S-07, Lot-04).",RAJUK/PD_Purbachal/102,"Construction of Remaining Internal RCC Road and Surface Drain at Sector-07 (part) Purbachal New Town Project. (Package: PNTP/RDC/S-07, Lot-04).",Purbachal New Town Project,M/S. Sharif & Sons,co0017,1,"Eastern Arzoo, Suite No: 11/08, 61, Bijoynagar, Dhaka-1000.",,33055372.458,33055372.458,2024-08-20,2024-10-17,2024-11-14,2024-10-01,2024-12-30,15,13,5,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1008545,Contract_Awards_PDFs/Tender_1008545.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/103,RAJUK/PD_Purbachal/103,"Construction of Remaining Internal Road & Surface Drain work at sector-10 of Purbachal New Town Project (Package- PNTP/RDC/S-10, Lot-05).",RAJUK/PD_Purbachal/103,"Construction of Remaining Internal Road & Surface Drain work at sector-10 of Purbachal New Town Project (Package- PNTP/RDC/S-10, Lot-05).",Purbachal New Town Project,Aliza Enterprise,co0005,1,"610, Shewrapara, Mirpur, Dhaka-1216",,12899794.769,12899794.769,2024-08-20,2024-10-17,2024-11-11,2024-10-01,2024-12-30,10,9,3,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1008546,Contract_Awards_PDFs/Tender_1008546.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/104,RAJUK/PD_Purbachal/104,"Construction of Remaining RCC Road & Surface Drain work at Sector no-05 of Purbachal New Town Project (Package: PNTP/RDC/S-05, Lot-04).",RAJUK/PD_Purbachal/104,"Construction of Remaining RCC Road & Surface Drain work at Sector no-05 of Purbachal New Town Project (Package: PNTP/RDC/S-05, Lot-04).",Purbachal New Town Project,M/s Mithila Enterprise,co0018,1,"HOUSE NO 7, ROAD NO 3, NIKUNJA-2, KHILKHET, DHAKA-1229.",,6253553.025,6253553.025,2024-08-20,2024-10-17,2024-11-06,2024-10-01,2024-12-30,7,6,2,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1008547,Contract_Awards_PDFs/Tender_1008547.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/105,RAJUK/PD_Purbachal/105,"Construction of Remaining Internal Road and Surface Drain Work at Sector-15 (part) of Purbachal New Town Project (Package-PNTP/RDC/S-15, Lot-03).",RAJUK/PD_Purbachal/105,"Construction of Remaining Internal Road and Surface Drain Work at Sector-15 (part) of Purbachal New Town Project (Package-PNTP/RDC/S-15, Lot-03).",Purbachal New Project,HAIDER & CO.,co0013,1,"1/1 KAMALAPUR BAZAR ROAD, DHAKA",,19700193.771,19700193.771,2024-08-20,2024-10-17,2024-11-11,2024-10-01,2024-12-30,15,12,4,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1008548,Contract_Awards_PDFs/Tender_1008548.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/106,RAJUK/PD_Purbachal/106,"Construction of Remaining Internal Road and Surface Drain Work at Sector-30 (Part) of Purbachal New Town Project (Package # PNTP/RDC/S-30, Lot-03).",RAJUK/PD_Purbachal/106,"Construction of Remaining Internal Road and Surface Drain Work at Sector-30 (Part) of Purbachal New Town Project (Package # PNTP/RDC/S-30, Lot-03).",Purbachal New Town Project,Starlite Services Limited,co0019,1,"Planners Tower(16th Floor), Suit No: 8-11,13/A, Sonargaon Road, Dhaka-1000.",,27870506.235,27870506.235,2024-08-20,2024-10-17,2024-11-06,2024-10-01,2024-12-30,12,10,3,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1009276,Contract_Awards_PDFs/Tender_1009276.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Khulna Development Authority (KDA),og0016,Office of the Assistant Programmer,og0017,,Khulna,Goods,OTM,Own Fund Own Fund,NA,NA,pr0003,Computer/2024-2025/01,Computer/2024-2025/01,"Supply of Computer, Projector, Printer, UPS and other accessories at KDA",25.41.0000.006.00.051.24,"Supply of Computer, Projector, Printer, UPS and other accessories at KDA",KDA Office Building,M.A. COMPUTER,co0020,1,"3/4, KHULNA COMPUTER CITY, JALIL TOWER (1ST FLOOR), 77, KHAN-A-SABUR ROAD, KHULNA-9000.",,591311.129,591311.129,2024-08-18,2024-09-10,2024-10-03,2024-09-15,2024-10-02,8,8,8,yes,yes,yes,Md Shoeb Howlader,pp0011,Assistant Programmer,0
1010247,Contract_Awards_PDFs/Tender_1010247.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Khulna Development Authority (KDA),og0016,Office of Exen (Maintenance),og0018,,Khulna,Works,OTM,Own Fund Own Fund,NA,NA,pr0003,KDA/2024-2025/06.,KDA/2024-2025/06.,Supply of file racks for different section of KDA.,25.41.0000.027.0838.24,Supply of file racks for different section of KDA.,KDA Office Bhavan,NURJAHAN ENTERPRISE,co0021,1,"10/A, ROAD-6, PLOT-1, MIRPUR, Pallabi",,1111999.96,1111999.960,2024-08-21,2024-10-01,2024-10-06,2024-09-15,2024-10-15,6,3,3,yes,yes,yes,Montasir Mamun,pp0012,Executive Engineer (M),0
101083,Contract_Awards_PDFs/Tender_101083.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director(DC Road),og0019,,Chittagong,Works,OTM,"Development Government, Own fund",NA,Widening and Improvement of DC Road,pr0010,pd/dcroad/25/est-19,e-TENDERDC-06,Construction work of affected areas boundary wall column septic tank water tank silk coat road marking and ancillary work under the project of widening and improvement of DC Road.,PD/DC Road/25/Est-19/117,"Construction work of affected area's boundary wall, column septic tank, water tank, silk coat, road marking and ancillary work under the project of widening and improvement of DC Road.",DC Road,M/S. Mohshin & Brothers,co0022,1,"Kader Villa 1st Floor ,O R, Nizam Road Chittagong",,3963689.307,3963689.307,2017-05-04,2017-06-11,2017-06-15,2017-06-01,2017-06-29,5,3,2,yes,yes,yes,Mohammad Hasan,pp0008,Project Director,0
1011370,Contract_Awards_PDFs/Tender_1011370.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Purbachal New Town Project,og0015,,Dhaka,Works,OTM,Own Fund Own fund,NA,Purbachal New town Project,pr0009,RAJUK/PD_Purbachal/107,RAJUK/PD_Purbachal/107,"Maintenance and Renovation of Internal Road & Surface Drain at sector-01 (Part) of Purbachal New Town Project (Package-PNTP/RP/S-01, Lot-01).",RAJUK/PD_Purbachal/107,"Maintenance and Renovation of Internal Road & Surface Drain at sector-01 (Part) of Purbachal New Town Project (Package-PNTP/RP/S-01, Lot-01).",Purbachal New Project Area,M/S Udayan Builders,co0023,1,"Dhaka Trtade Centre,Level #15, Block # H 99 Kazi Nazrul Islam Avenue, Kawran Bazar C/A, Dhaka-1215",,39498314.463,39498314.463,2024-09-01,2024-10-17,2024-11-12,2024-10-15,2024-12-29,11,10,6,yes,yes,yes,Md. Nurul Islam,pp0010,Project Director,0
1013009,Contract_Awards_PDFs/Tender_1013009.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Khulna Development Authority (KDA),og0016,Office of Exen (Maintenance),og0018,,Khulna,Works,OTM,Own Fund Own Fund,NA,NA,pr0003,KDA/2024-2025/07,KDA/2024-2025/07,"Supply, fitting and fixing of work station at different section of KDA",25.41.0000.027.0842.24,"Supply, fitting and fixing of work station at different section of KDA",KDA Office Building,M/S. ROKEYA TRADERS,co0024,1,"Dorbesh Chamber, Railway Hospital Road, Khulna",,1220698.956,1220698.956,2024-09-04,2024-10-15,2024-10-23,2024-10-01,2024-12-30,6,6,4,yes,yes,yes,Montasir Mamun,pp0012,Executive Engineer (M),0
1013268,Contract_Awards_PDFs/Tender_1013268.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Superintending Engineer (Civil Circle-4),og0014,,Dhaka,Works,OTM,Own Fund Own fund,NA,Construction of different types of Buildings/Roads/Infrastructure under RAJUK Jurisdiction,pr0011,RAJUK/SECC-4/Road-10,RAJUK/SECC-4/Road-10,"Drain Construction work by Concrete Solid Block of Sector-15, Block-D & E at Uttara Residential Area Of Rajuk, Dhaka.",RAJUK/SECC-4/Road-10,"Drain Construction work by Concrete Solid Block of Sector-15,Block-D & E at Uttara Residential Area Of Rajuk, Dhaka.",Uttara Residential area,M/S. A. R. Enterprise,co0016,1,"House-08, Road-02, Diyabari, Uttara, Dhaka-1230 Contact No:01935968075, 01707568905",,23590501.218,23590501.218,2024-09-10,2024-10-30,2024-11-27,2024-11-10,2025-03-10,6,5,2,yes,yes,yes,Md Mobarak Hossain,pp0009,Superintending Engineer,0
