level,printed,normalized,tenders,first_source_file,first_page,coordinates
winner address,"233/450 Ramna Market, Electrict Lane, Hotel Unique, Reazuddin Bazar, Chittagong","233/450 Ramna Market, Electrict Lane, Hotel Unique, Reazuddin Bazar, Chittagong",1,Contract_Awards_PDFs/Tender_108836.pdf,1,not documented in the supplied documents
winner address,"House # 300/1, South Monipur, Mirpur, Dhaka 1216.","House # 300/1, South Monipur, Mirpur, Dhaka 1216.",2,Contract_Awards_PDFs/Tender_1094618.pdf,1,not documented in the supplied documents
winner address,"2/3 Mohini Mohon Das Lane Shambazar,Dhaka-1100","2/3 Mohini Mohon Das Lane Shambazar,Dhaka-1100",2,Contract_Awards_PDFs/Tender_1096839.pdf,1,not documented in the supplied documents
winner address,"71, Fakirapool, Motijheel, Dhaka-1000","71, Fakirapool, Motijheel, Dhaka-1000",1,Contract_Awards_PDFs/Tender_1096909.pdf,1,not documented in the supplied documents
work location,"Rajuk Malibagh Officers Quarter,Malibag,Dhaka","Rajuk Malibagh Officers Quarter,Malibag,Dhaka",1,Contract_Awards_PDFs/Tender_1097226.pdf,1,not documented in the supplied documents
work location,"Motijheel BCIC Bhaban,Dhaka","Motijheel BCIC Bhaban,Dhaka",1,Contract_Awards_PDFs/Tender_1097756.pdf,1,not documented in the supplied documents
work location,Saltgola,Saltgola,1,Contract_Awards_PDFs/Tender_110297.pdf,1,not documented in the supplied documents
winner address,"10 Toyenbee Circular Road, Motijheel C/A, Dhaka.","10 Toyenbee Circular Road, Motijheel C/A, Dhaka.",2,Contract_Awards_PDFs/Tender_110297.pdf,1,not documented in the supplied documents
work location,Debhata,Debhata,1,Contract_Awards_PDFs/Tender_111480.pdf,1,not documented in the supplied documents
winner address,"Situlpur, Kaligonj, Satkhira.","Situlpur, Kaligonj, Satkhira.",1,Contract_Awards_PDFs/Tender_111480.pdf,1,not documented in the supplied documents
winner address,"11/A,Main Road-3,Plot-10,Pallabi; Pallabi PS; Dhaka-1216; Bangladesh (Present Address: 63/4, Panthanivas - 2, Lake Circus Kalabagan, Panthapath, Dhaka - 1205)","11/A,Main Road-3,Plot-10,Pallabi; Pallabi PS; Dhaka-1216; Bangladesh (Present Address: 63/4, Panthanivas - 2, Lake Circus Kalabagan, Panthapath, Dhaka - 1205)",1,Contract_Awards_PDFs/Tender_1117569.pdf,1,not documented in the supplied documents
winner address,"East Karulia, Munshirbil, Karulia, Coxs Bazar","East Karulia, Munshirbil, Karulia, Coxs Bazar",2,Contract_Awards_PDFs/Tender_1119438.pdf,1,not documented in the supplied documents
work location,Natore Road RUET To Rajshahi By Pass Road,Natore Road RUET To Rajshahi By Pass Road,1,Contract_Awards_PDFs/Tender_112012.pdf,1,not documented in the supplied documents
winner address,"Monem Business District, 111, Bir Uttam C.R. Datta Road (Sonargaon Road), Dhaka - 1205","Monem Business District, 111, Bir Uttam C.R. Datta Road (Sonargaon Road), Dhaka - 1205",1,Contract_Awards_PDFs/Tender_112012.pdf,1,not documented in the supplied documents
winner address,"Advocate MD. Ali Market (1st Floor) Main Road, Kalordokan, Cox's Bazar Pourashava","Advocate MD. Ali Market (1st Floor) Main Road, Kalordokan, Cox's Bazar Pourashava",1,Contract_Awards_PDFs/Tender_1121584.pdf,1,not documented in the supplied documents
work location,"Annex Building, RAJUK Bhaban, Dhaka-1000","Annex Building, RAJUK Bhaban, Dhaka-1000",1,Contract_Awards_PDFs/Tender_1123494.pdf,1,not documented in the supplied documents
work location,Mehedibag Chattogram,Mehedibag Chattogram,3,Contract_Awards_PDFs/Tender_1128572.pdf,1,not documented in the supplied documents
winner address,16 north nalapara,16 north nalapara,1,Contract_Awards_PDFs/Tender_1128572.pdf,1,not documented in the supplied documents
winner address,"House # 79, Road # 9A, Dhanmondi R/A, Dhaka-1209.","House # 79, Road # 9A, Dhanmondi R/A, Dhaka-1209.",1,Contract_Awards_PDFs/Tender_113428.pdf,1,not documented in the supplied documents
winner address,"KA-11/9,Bashundhara Road,Dhaka-1229","KA-11/9,Bashundhara Road,Dhaka-1229",1,Contract_Awards_PDFs/Tender_1135936.pdf,1,not documented in the supplied documents
winner address,"East Bamonsur, Ati,Keranigonj,Dhaka.","East Bamonsur, Ati,Keranigonj,Dhaka.",1,Contract_Awards_PDFs/Tender_1138415.pdf,1,not documented in the supplied documents
work location,Hatirjheel RAJUK,Hatirjheel RAJUK,2,Contract_Awards_PDFs/Tender_1140010.pdf,1,not documented in the supplied documents
winner address,20/21/B Gonoktuli Lane Hazaribagh Dhaka-1205,20/21/B Gonoktuli Lane Hazaribagh Dhaka-1205,2,Contract_Awards_PDFs/Tender_1140010.pdf,1,not documented in the supplied documents
work location,RDA Complex Rajshahi,RDA Complex Rajshahi,2,Contract_Awards_PDFs/Tender_1140112.pdf,1,not documented in the supplied documents
winner address,"House#21. Level-7, Sonargaon Janapath Road, Sector#07, Uttara","House#21. Level-7, Sonargaon Janapath Road, Sector#07, Uttara",1,Contract_Awards_PDFs/Tender_1140112.pdf,1,not documented in the supplied documents
winner address,"Holding-34, Bokhtiarbad, Sopura, Boalia, Rajshahi-6203","Holding-34, Bokhtiarbad, Sopura, Boalia, Rajshahi-6203",2,Contract_Awards_PDFs/Tender_1140113.pdf,1,not documented in the supplied documents
work location,Nawdapara Rajshahi,Nawdapara Rajshahi,1,Contract_Awards_PDFs/Tender_1142188.pdf,1,not documented in the supplied documents
winner address,"House No. 180, Ramchandrapur, Ghoramara, Boalia, Rajshahi.","House No. 180, Ramchandrapur, Ghoramara, Boalia, Rajshahi.",1,Contract_Awards_PDFs/Tender_1142188.pdf,1,not documented in the supplied documents
work location,CDA mehedibagStaff Quarter Chgittagong,CDA mehedibagStaff Quarter Chgittagong,1,Contract_Awards_PDFs/Tender_114570.pdf,1,not documented in the supplied documents
winner address,"62, Alkoron Road, Kotwali, Chittagong","62, Alkoron Road, Kotwali, Chittagong",1,Contract_Awards_PDFs/Tender_114570.pdf,1,not documented in the supplied documents
work location,"Rajuk Main Bhaban, Annex Bhaban & Zonal / Site Office.","Rajuk Main Bhaban, Annex Bhaban & Zonal / Site Office.",2,Contract_Awards_PDFs/Tender_1146506.pdf,1,not documented in the supplied documents
winner address,"186, Shahid Sayed Nazrul Islam Soroni & 40, Bijoy Nagar, Ally's Center,Dhaka-1000.Bangladesh","186, Shahid Sayed Nazrul Islam Soroni & 40, Bijoy Nagar, Ally's Center,Dhaka-1000.Bangladesh",5,Contract_Awards_PDFs/Tender_1146509.pdf,1,not documented in the supplied documents
winner address,"Mosjit Road, Tekpara, Coxs Bazar Pourashava, Coxs Bazar","Mosjit Road, Tekpara, Coxs Bazar Pourashava, Coxs Bazar",1,Contract_Awards_PDFs/Tender_1150077.pdf,1,not documented in the supplied documents
winner address,"194 Bangabandhu Road, Samabay Market, Narayanganj","194 Bangabandhu Road, Samabay Market, Narayanganj",1,Contract_Awards_PDFs/Tender_1152584.pdf,1,not documented in the supplied documents
winner address,"Sabbir Tower, Holding No. 3/4-A (6th floor), Purana Paltan, Dhaka-1000.","Sabbir Tower, Holding No. 3/4-A (6th floor), Purana Paltan, Dhaka-1000.",3,Contract_Awards_PDFs/Tender_1152766.pdf,1,not documented in the supplied documents
work location,"Room No 522, CoxDA Office","Room No 522, CoxDA Office",3,Contract_Awards_PDFs/Tender_1163081.pdf,1,not documented in the supplied documents
winner address,"House No #68, Block # H, Road # 11, Banani, Dhaka-1213","House No #68, Block # H, Road # 11, Banani, Dhaka-1213",5,Contract_Awards_PDFs/Tender_1163187.pdf,1,not documented in the supplied documents
winner address,"2/5-1, East Ahmed nagar, Mirpur-1, Dhaka-1216","2/5-1, East Ahmed nagar, Mirpur-1, Dhaka-1216",12,Contract_Awards_PDFs/Tender_1172974.pdf,1,not documented in the supplied documents
work location,ENTITY DETAILS,ENTITY DETAILS,10,Contract_Awards_PDFs/Tender_1173557.pdf,1,not documented in the supplied documents
winner address,"Morshed Market (1st Floor) Rajgonj, Comilla","Morshed Market (1st Floor) Rajgonj, Comilla",1,Contract_Awards_PDFs/Tender_1178437.pdf,1,not documented in the supplied documents
winner address,"Aziz Market (1st Floor), Atorar Dipo,","Aziz Market (1st Floor), Atorar Dipo,",1,Contract_Awards_PDFs/Tender_1183753.pdf,1,not documented in the supplied documents
work location,Hatirjheel Integrated Project Area,Hatirjheel Integrated Project Area,2,Contract_Awards_PDFs/Tender_1186178.pdf,1,not documented in the supplied documents
work location,Uttara RMT 3rd phase Project,Uttara RMT 3rd phase Project,1,Contract_Awards_PDFs/Tender_119326.pdf,1,not documented in the supplied documents
winner address,"154, Motijheel C/A, Motijheel Mosque Building (2nd Floor), Room No.301~303, Dhaka-1000","154, Motijheel C/A, Motijheel Mosque Building (2nd Floor), Room No.301~303, Dhaka-1000",1,Contract_Awards_PDFs/Tender_119326.pdf,1,not documented in the supplied documents
work location,Uttara 3rd Phase Project,Uttara 3rd Phase Project,11,Contract_Awards_PDFs/Tender_119545.pdf,1,not documented in the supplied documents
work location,RAJUK Main and Annex Bhaban,RAJUK Main and Annex Bhaban,1,Contract_Awards_PDFs/Tender_119636.pdf,1,not documented in the supplied documents
winner address,"100/A Bashir Uddin Road, Kalabagan Dhanmondi, Dhaka-1205","100/A Bashir Uddin Road, Kalabagan Dhanmondi, Dhaka-1205",1,Contract_Awards_PDFs/Tender_119636.pdf,1,not documented in the supplied documents
work location,"Motijhell, Dhaka","Motijhell, Dhaka",1,Contract_Awards_PDFs/Tender_1205116.pdf,1,not documented in the supplied documents
winner address,"170, Ahammed Shorony Road, Satarkul Uttar Para, Badda, Dhaka-1212, Phone-029886908, Cell-01711805052, Cell- 01321169973","170, Ahammed Shorony Road, Satarkul Uttar Para, Badda, Dhaka-1212, Phone-029886908, Cell-01711805052, Cell- 01321169973",1,Contract_Awards_PDFs/Tender_1205116.pdf,1,not documented in the supplied documents
winner address,"44/3, Tejtury Bazer Chalk, Sher-e-Bangla Nagor, Dhaka.","44/3, Tejtury Bazer Chalk, Sher-e-Bangla Nagor, Dhaka.",2,Contract_Awards_PDFs/Tender_1205153.pdf,1,not documented in the supplied documents
winner address,"Chandrashila Suvastu Tower (15th Floor), 69/1, Panthapath, Dhaka-1205","Chandrashila Suvastu Tower (15th Floor), 69/1, Panthapath, Dhaka-1205",2,Contract_Awards_PDFs/Tender_1205154.pdf,1,not documented in the supplied documents
winner address,"28/G/1, Toynobee Circular Road, Gause Pak Bhaban, Motijheel C/A, Dhaka-1000.","28/G/1, Toynobee Circular Road, Gause Pak Bhaban, Motijheel C/A, Dhaka-1000.",1,Contract_Awards_PDFs/Tender_1205157.pdf,1,not documented in the supplied documents
winner address,"68/4, Green Road- 2nd floor, Dhaka","68/4, Green Road- 2nd floor, Dhaka",2,Contract_Awards_PDFs/Tender_1207634.pdf,1,not documented in the supplied documents
winner address,"Park Heights, Level-7, Plot # 02, Road # 09, Dhanmondi, Dhaka-1205","Park Heights, Level-7, Plot # 02, Road # 09, Dhanmondi, Dhaka-1205",1,Contract_Awards_PDFs/Tender_1207636.pdf,1,not documented in the supplied documents
winner address,"29 MM Ali Road, Lalkhan Bazar, Chattogram, Bangladesh","29 MM Ali Road, Lalkhan Bazar, Chattogram, Bangladesh",2,Contract_Awards_PDFs/Tender_1215675.pdf,1,not documented in the supplied documents
winner address,"Roghunathpur, Shealkole, Sirajganj, Bangladesh.","Roghunathpur, Shealkole, Sirajganj, Bangladesh.",1,Contract_Awards_PDFs/Tender_1215677.pdf,1,not documented in the supplied documents
work location,Gulshan-Banani lake,Gulshan-Banani lake,1,Contract_Awards_PDFs/Tender_1225895.pdf,1,not documented in the supplied documents
winner address,"Planners Tower (16th Floor) 13/A, Bipanan C/A, Sonargaon Road, Dhaka-1000.","Planners Tower (16th Floor) 13/A, Bipanan C/A, Sonargaon Road, Dhaka-1000.",1,Contract_Awards_PDFs/Tender_1225895.pdf,1,not documented in the supplied documents
work location,Baridhara Lake,Baridhara Lake,1,Contract_Awards_PDFs/Tender_1225896.pdf,1,not documented in the supplied documents
winner address,"10 North Mugdha ( 7th Floor), P.S. Mugdha, Dhaka-1214","10 North Mugdha ( 7th Floor), P.S. Mugdha, Dhaka-1214",1,Contract_Awards_PDFs/Tender_1225896.pdf,1,not documented in the supplied documents
work location,CDA Building,CDA Building,6,Contract_Awards_PDFs/Tender_1231413.pdf,1,not documented in the supplied documents
winner address,"Plot No.: 87, B, N, S, Center, Sector: 07, Uttara, Dhaka-1230, Bangladesh.","Plot No.: 87, B, N, S, Center, Sector: 07, Uttara, Dhaka-1230, Bangladesh.",1,Contract_Awards_PDFs/Tender_1231413.pdf,1,not documented in the supplied documents
work location,"RDA Park, Rajshahi","RDA Park, Rajshahi",1,Contract_Awards_PDFs/Tender_1234511.pdf,1,not documented in the supplied documents
winner address,"Hetem Khan, Boalia, Rajshahi City Corporation, Rajshahi","Hetem Khan, Boalia, Rajshahi City Corporation, Rajshahi",1,Contract_Awards_PDFs/Tender_1234511.pdf,1,not documented in the supplied documents
work location,KDA,KDA,5,Contract_Awards_PDFs/Tender_124055.pdf,1,not documented in the supplied documents
winner address,"Plot # 55, Road # 150, Housing Estate, Khalishpur, Khulna-9000","Plot # 55, Road # 150, Housing Estate, Khalishpur, Khulna-9000",1,Contract_Awards_PDFs/Tender_124055.pdf,1,not documented in the supplied documents
winner address,"Cha- 90/A, Pragati Sharani, Badda, Dhaka-1212","Cha- 90/A, Pragati Sharani, Badda, Dhaka-1212",1,Contract_Awards_PDFs/Tender_1251756.pdf,1,not documented in the supplied documents
work location,"gazipur chawrasta, gazipur","gazipur chawrasta, gazipur",1,Contract_Awards_PDFs/Tender_1251766.pdf,1,not documented in the supplied documents
winner address,"56, Eastern Trade Centre, Purana Paltan Lane, VIP Road, Paltan, Dhaka 1000","56, Eastern Trade Centre, Purana Paltan Lane, VIP Road, Paltan, Dhaka 1000",1,Contract_Awards_PDFs/Tender_1251766.pdf,1,not documented in the supplied documents
winner address,"295, Holylane Road, Shayamoli, Adabor, Dhaka-1207.","295, Holylane Road, Shayamoli, Adabor, Dhaka-1207.",2,Contract_Awards_PDFs/Tender_1253316.pdf,1,not documented in the supplied documents
work location,"GDA, chawrasta, gazipur","GDA, chawrasta, gazipur",1,Contract_Awards_PDFs/Tender_1257073.pdf,1,not documented in the supplied documents
winner address,"33/15 Johuri Mohollah, Babar Road, Mohammadpur, Dhaka-1207","33/15 Johuri Mohollah, Babar Road, Mohammadpur, Dhaka-1207",1,Contract_Awards_PDFs/Tender_1257073.pdf,1,not documented in the supplied documents
work location,Uttara 3rd Phase Project Sector-18,Uttara 3rd Phase Project Sector-18,1,Contract_Awards_PDFs/Tender_125874.pdf,1,not documented in the supplied documents
winner address,"Block - B (5th floor), Dhaka Trade Center, 99, Kawran Bazar Dhaka","Block - B (5th floor), Dhaka Trade Center, 99, Kawran Bazar Dhaka",1,Contract_Awards_PDFs/Tender_125874.pdf,1,not documented in the supplied documents
work location,Uttara 3rd Phase Project sector 17,Uttara 3rd Phase Project sector 17,2,Contract_Awards_PDFs/Tender_125877.pdf,1,not documented in the supplied documents
winner address,"House # 7, Road # 19/A, Sector # 4, Uttara, Dhaka-1230, Bangladesh","House # 7, Road # 19/A, Sector # 4, Uttara, Dhaka-1230, Bangladesh",1,Contract_Awards_PDFs/Tender_125877.pdf,1,not documented in the supplied documents
winner address,"762 Asma Monjil, West Shewrapara, Mirpur, Dhaka-1216.","762 Asma Monjil, West Shewrapara, Mirpur, Dhaka-1216.",3,Contract_Awards_PDFs/Tender_1261854.pdf,1,not documented in the supplied documents
winner address,"Pahartali Railway School Moor, Pahartali, Khulshi, Chattogram-4202","Pahartali Railway School Moor, Pahartali, Khulshi, Chattogram-4202",1,Contract_Awards_PDFs/Tender_1267626.pdf,1,not documented in the supplied documents
work location,Mohakhali Zonal office,Mohakhali Zonal office,8,Contract_Awards_PDFs/Tender_134910.pdf,1,not documented in the supplied documents
winner address,"8, Layal Street, Patuatuli Road, Kotoali, Dhaka.","8, Layal Street, Patuatuli Road, Kotoali, Dhaka.",9,Contract_Awards_PDFs/Tender_134910.pdf,1,not documented in the supplied documents
winner address,"9 Nawab Street, Nawab Tower,Flat # B/C (1st floor ), Wari, Dhaka.","9 Nawab Street, Nawab Tower,Flat # B/C (1st floor ), Wari, Dhaka.",3,Contract_Awards_PDFs/Tender_144571.pdf,1,not documented in the supplied documents
winner address,"House # 01(2nd Floor), Road # 06, Sector # 01, Uttara Commercial Area, Dhaka-1230.","House # 01(2nd Floor), Road # 06, Sector # 01, Uttara Commercial Area, Dhaka-1230.",5,Contract_Awards_PDFs/Tender_146376.pdf,1,not documented in the supplied documents
winner address,"476/C, DIT Road (4th Floor) Malibagh Dhaka-1219","476/C, DIT Road (4th Floor) Malibagh Dhaka-1219",1,Contract_Awards_PDFs/Tender_149105.pdf,1,not documented in the supplied documents
winner address,"House No: 409, Sagorpara, P.O: Ghoramara, P.S: Boalia, Dist: Rajshahi","House No: 409, Sagorpara, P.O: Ghoramara, P.S: Boalia, Dist: Rajshahi",3,Contract_Awards_PDFs/Tender_149115.pdf,1,not documented in the supplied documents
work location,Land Development Of Ahanabad Residential Area,Land Development Of Ahanabad Residential Area,1,Contract_Awards_PDFs/Tender_149365.pdf,1,not documented in the supplied documents
winner address,"Toma Tower, 77/1 Bir Uttam Samsul Alam Sarak, Kakrail, Ramna, Dhaka","Toma Tower, 77/1 Bir Uttam Samsul Alam Sarak, Kakrail, Ramna, Dhaka",4,Contract_Awards_PDFs/Tender_149365.pdf,1,not documented in the supplied documents
work location,Comilla,Comilla,1,Contract_Awards_PDFs/Tender_15000.pdf,1,not documented in the supplied documents
winner address,"33, Kazi Nazrul islam avenue, Hafiz Mansion(2nd floor), Kawran Bazar, Dhaka-1215.","33, Kazi Nazrul islam avenue, Hafiz Mansion(2nd floor), Kawran Bazar, Dhaka-1215.",1,Contract_Awards_PDFs/Tender_15000.pdf,1,not documented in the supplied documents
work location,Gulshan-Badda Link Road to Morium Tower,Gulshan-Badda Link Road to Morium Tower,1,Contract_Awards_PDFs/Tender_151177.pdf,1,not documented in the supplied documents
winner address,18/1 Nayapaltan Dhaka-1000,18/1 Nayapaltan Dhaka-1000,2,Contract_Awards_PDFs/Tender_151177.pdf,1,not documented in the supplied documents
work location,Santhia,Santhia,1,Contract_Awards_PDFs/Tender_159826.pdf,1,not documented in the supplied documents
winner address,"Khairul Tower, (3rd Floor) M.M Ali Road, Shibrampur, Pabna-6600.","Khairul Tower, (3rd Floor) M.M Ali Road, Shibrampur, Pabna-6600.",1,Contract_Awards_PDFs/Tender_159826.pdf,1,not documented in the supplied documents
work location,Malibagh Rajuk Officers Quarters,Malibagh Rajuk Officers Quarters,2,Contract_Awards_PDFs/Tender_162060.pdf,1,not documented in the supplied documents
winner address,"123 Kakrail, Dhaka-1000","123 Kakrail, Dhaka-1000",15,Contract_Awards_PDFs/Tender_162060.pdf,1,not documented in the supplied documents
winner address,"Akram Tower (4th floor ),Room No: 504, 199 Shahid Sayed Nazrul Islam Sawrani, Bijoynagar, Dhaka- 1000.Ph:+88028392391","Akram Tower (4th floor ),Room No: 504, 199 Shahid Sayed Nazrul Islam Sawrani, Bijoynagar, Dhaka- 1000.Ph:+88028392391",1,Contract_Awards_PDFs/Tender_162590.pdf,1,not documented in the supplied documents
work location,Dhaka,Dhaka,6,Contract_Awards_PDFs/Tender_164878.pdf,1,not documented in the supplied documents
winner address,"Pacific Motors Limited 206/1-207/1, Bir Uttam Mir Shawkat Sarak, Tejgaon Industrial Area, Dhaka-1208, Bangladesh.","Pacific Motors Limited 206/1-207/1, Bir Uttam Mir Shawkat Sarak, Tejgaon Industrial Area, Dhaka-1208, Bangladesh.",2,Contract_Awards_PDFs/Tender_164878.pdf,1,not documented in the supplied documents
work location,Mehendiganj,Mehendiganj,1,Contract_Awards_PDFs/Tender_168749.pdf,1,not documented in the supplied documents
winner address,"M/S Oshin Enterprise Pro: Shakel Ahamed Polash Srinath Chaterjilane ,Kalibari Road ,Barisal","M/S Oshin Enterprise Pro: Shakel Ahamed Polash Srinath Chaterjilane ,Kalibari Road ,Barisal",1,Contract_Awards_PDFs/Tender_168749.pdf,1,not documented in the supplied documents
winner address,"Room # 09, Ground Floor, Electric Plaza, Tropicana Tower, 218, shahid Seyad Nazrul Islam Sharani, Old 45, Topkhana Road, Purana Paltan, Dhaka-1000.","Room # 09, Ground Floor, Electric Plaza, Tropicana Tower, 218, shahid Seyad Nazrul Islam Sharani, Old 45, Topkhana Road, Purana Paltan, Dhaka-1000.",4,Contract_Awards_PDFs/Tender_169223.pdf,1,not documented in the supplied documents
work location,Hatirjheel,Hatirjheel,1,Contract_Awards_PDFs/Tender_171570.pdf,1,not documented in the supplied documents
winner address,"99,Karim Chember,7th floor, Room no-702,Motijheel C/A, Dhaka-1000.","99,Karim Chember,7th floor, Room no-702,Motijheel C/A, Dhaka-1000.",1,Contract_Awards_PDFs/Tender_171570.pdf,1,not documented in the supplied documents
winner address,"10/3 Arambagh, Mokbul Plaza, Motijheel C/A, Dhaka-1000, Bangladesh Kanij Fatema Mitu Executive Secretary Contact:+88017-09380850,+88018-33010136","10/3 Arambagh, Mokbul Plaza, Motijheel C/A, Dhaka-1000, Bangladesh Kanij Fatema Mitu Executive Secretary Contact:+88017-09380850,+88018-33010136",7,Contract_Awards_PDFs/Tender_174670.pdf,1,not documented in the supplied documents
winner address,"SSG Center (3rd Floor), Nabosrista Plot No.: 1/A, Tejgaon I/A, Dhaka","SSG Center (3rd Floor), Nabosrista Plot No.: 1/A, Tejgaon I/A, Dhaka",2,Contract_Awards_PDFs/Tender_174677.pdf,1,not documented in the supplied documents
winner address,"8/A,-8/B, Nilkhet, Babupura, Gausul Azam Super Market, Dhaka.","8/A,-8/B, Nilkhet, Babupura, Gausul Azam Super Market, Dhaka.",1,Contract_Awards_PDFs/Tender_174700.pdf,1,not documented in the supplied documents
winner address,"M/S Razin International 63/C, Lake Circus, Kalabagan, Dhanmondi, Dhaka-1205, Phone-9614672, Cell-01711079979, 01729292988","M/S Razin International 63/C, Lake Circus, Kalabagan, Dhanmondi, Dhaka-1205, Phone-9614672, Cell-01711079979, 01729292988",2,Contract_Awards_PDFs/Tender_174705.pdf,1,not documented in the supplied documents
winner address,"125, Romna Century Avenue Boro Mog Bazar, Dhaka-1217","125, Romna Century Avenue Boro Mog Bazar, Dhaka-1217",2,Contract_Awards_PDFs/Tender_174710.pdf,1,not documented in the supplied documents
winner address,"40-41, M.A Bari Sarak (Gollamari-Sonadanga Link Road), Khulna.","40-41, M.A Bari Sarak (Gollamari-Sonadanga Link Road), Khulna.",1,Contract_Awards_PDFs/Tender_174712.pdf,1,not documented in the supplied documents
winner address,"37, Bir Uttam C.R. Dutta Road, Nahar Plaza, Suite No-709 (6th Floor) Shahabag, Dhaka-1000","37, Bir Uttam C.R. Dutta Road, Nahar Plaza, Suite No-709 (6th Floor) Shahabag, Dhaka-1000",1,Contract_Awards_PDFs/Tender_174717.pdf,1,not documented in the supplied documents
winner address,"1103/A(2nd floor),Road No-1/A,Ring Road,Adabor,Dhaka-1207","1103/A(2nd floor),Road No-1/A,Ring Road,Adabor,Dhaka-1207",1,Contract_Awards_PDFs/Tender_179865.pdf,1,not documented in the supplied documents
work location,Rajuk Compaund,Rajuk Compaund,1,Contract_Awards_PDFs/Tender_189828.pdf,1,not documented in the supplied documents
work location,LALKHAN BAZAR TO PENINSULA HOTEL,LALKHAN BAZAR TO PENINSULA HOTEL,1,Contract_Awards_PDFs/Tender_189939.pdf,1,not documented in the supplied documents
winner address,"1684, O.R. Nizam Road, Panchlaish, Chittagong.","1684, O.R. Nizam Road, Panchlaish, Chittagong.",1,Contract_Awards_PDFs/Tender_189939.pdf,1,not documented in the supplied documents
work location,RAJUK Bhaban,RAJUK Bhaban,2,Contract_Awards_PDFs/Tender_18994.pdf,1,not documented in the supplied documents
winner address,"Plot 21, Akash Plaza, 5th Floor, Road 7/D, Sector 9, Uttara, Dhaka","Plot 21, Akash Plaza, 5th Floor, Road 7/D, Sector 9, Uttara, Dhaka",1,Contract_Awards_PDFs/Tender_18994.pdf,1,not documented in the supplied documents
work location,Hotel Peninsula to N Mohammed convention center,Hotel Peninsula to N Mohammed convention center,1,Contract_Awards_PDFs/Tender_189944.pdf,1,not documented in the supplied documents
winner address,"350/A, CDA Avenue, Muradpur, Chittagong.","350/A, CDA Avenue, Muradpur, Chittagong.",1,Contract_Awards_PDFs/Tender_189944.pdf,1,not documented in the supplied documents
winner address,"Corporate Office: Suite # 608, 51, Alpona Plaza, New Elepant Road, Dhaka.","Corporate Office: Suite # 608, 51, Alpona Plaza, New Elepant Road, Dhaka.",1,Contract_Awards_PDFs/Tender_192714.pdf,1,not documented in the supplied documents
work location,Uttara Residential Model Town,Uttara Residential Model Town,1,Contract_Awards_PDFs/Tender_199368.pdf,1,not documented in the supplied documents
work location,Sector-18 Uttara Dhaka,Sector-18 Uttara Dhaka,1,Contract_Awards_PDFs/Tender_199891.pdf,1,not documented in the supplied documents
winner address,"Hatil Complex Ltd. 8 Shewrapara, Rokeya Sharani, Mirpur, Dhaka-1216","Hatil Complex Ltd. 8 Shewrapara, Rokeya Sharani, Mirpur, Dhaka-1216",2,Contract_Awards_PDFs/Tender_199942.pdf,1,not documented in the supplied documents
winner address,"Southland Center (3rd floor), 5, Agrabad C/A, Chittagong-4100.","Southland Center (3rd floor), 5, Agrabad C/A, Chittagong-4100.",2,Contract_Awards_PDFs/Tender_201012.pdf,1,not documented in the supplied documents
work location,Sadar,Sadar,1,Contract_Awards_PDFs/Tender_20558.pdf,1,not documented in the supplied documents
winner address,"Hasan Court (5th Floor), 23/1, Motijheel C/A Dhaka-1000.","Hasan Court (5th Floor), 23/1, Motijheel C/A Dhaka-1000.",1,Contract_Awards_PDFs/Tender_20558.pdf,1,not documented in the supplied documents
work location,BARNOI Residential Area,BARNOI Residential Area,1,Contract_Awards_PDFs/Tender_207700.pdf,1,not documented in the supplied documents
winner address,"542,Dorikharbona,Boalia,G.p.o-6000","542,Dorikharbona,Boalia,G.p.o-6000",1,Contract_Awards_PDFs/Tender_207700.pdf,1,not documented in the supplied documents
work location,Urrara sector 18,Urrara sector 18,1,Contract_Awards_PDFs/Tender_209736.pdf,1,not documented in the supplied documents
work location,Uttara Model Town,Uttara Model Town,2,Contract_Awards_PDFs/Tender_214247.pdf,1,not documented in the supplied documents
work location,Bhaddarhat Lalkhan Bazar Baby Super Market Flyover Ramps Part Chittagong,Bhaddarhat Lalkhan Bazar Baby Super Market Flyover Ramps Part Chittagong,1,Contract_Awards_PDFs/Tender_215555.pdf,1,not documented in the supplied documents
winner address,"450,Hotel Unique(3rd Floor), Post office Lane, Reazuddin Bazar, Chittagong.","450,Hotel Unique(3rd Floor), Post office Lane, Reazuddin Bazar, Chittagong.",1,Contract_Awards_PDFs/Tender_215555.pdf,1,not documented in the supplied documents
work location,Nasirabad,Nasirabad,1,Contract_Awards_PDFs/Tender_223246.pdf,1,not documented in the supplied documents
winner address,"House No 18 (New), 405 (Old), 1st Floor, Road No. 16 (New), 27 (Old), Dhanmondi, Dhaka-1205.","House No 18 (New), 405 (Old), 1st Floor, Road No. 16 (New), 27 (Old), Dhanmondi, Dhaka-1205.",2,Contract_Awards_PDFs/Tender_223246.pdf,1,not documented in the supplied documents
work location,CDA Building kotwali court Road Chittagon,CDA Building kotwali court Road Chittagon,1,Contract_Awards_PDFs/Tender_234888.pdf,1,not documented in the supplied documents
winner address,"Hazi Monsur Ali Road, Mia Khan Nagar, Chittagong.","Hazi Monsur Ali Road, Mia Khan Nagar, Chittagong.",11,Contract_Awards_PDFs/Tender_234888.pdf,1,not documented in the supplied documents
