tender_id,source_file,page,table_generation,lot_no,identification,location,security_amount_taka,security_amount_original,start_date,completion_date
1184467,Tender Notice_PDFs/COXDA_Tender_1184467.pdf,1,lots_legacy,CoxDA/Revenue/Goods/OTM/BP/FY2025- 26,Procurement of Books and Periodical. FY 2025-26,"CoxDA Bhaban, Coxsbazar",3200,3200,2025-12-21,2026-01-18
1184470,Tender Notice_PDFs/COXDA_Tender_1184470.pdf,1,lots_legacy,CoxDA/Revenue/Works/OTM/EW/FY2025- 26,Supply & Installation of electrical equipmentÃ¢??s of CoxÃ¢??s Bazar district. FY 2025-26,"CoxDA Bhaban, Coxsbazar",50000,50000,2025-12-21,2026-01-25
1185193,Tender Notice_PDFs/COXDA_Tender_1185193.pdf,1,lots_legacy,CoxDA/Revenue/Goods/Computer/FY2025- 26,Supply & installation of Computers and other equipment. FY 2025-26,"CoxDA Bhaban, Coxsbazar",55000,55000,2025-12-21,2026-01-25
1189962,Tender Notice_PDFs/COXDA_Tender_1189962.pdf,1,lots_phased,CoxDA/OF/2025-26/Vehicle_Hiring/01,Supply of Vehicle including Fuel,Coxs Bazar,,,2026-01-01,2026-12-31
1199127,Tender Notice_PDFs/COXDA_Tender_1199127.pdf,1,lots_phased,CoxDA/OF/2025-26/Vehicle_Hiring,Hiring of Vehicle for CoxDA for the FY 2025-26,Coxs Bazar,,,2026-01-01,2026-12-31
1207915,Tender Notice_PDFs/COXDA_Tender_1207915.pdf,1,lots_legacy,CoxDA/Revenue/Goods/OTM/BP/FY2025- 26,Procurement of Books and Periodical. FY 2025-26,"CoxDA Bhaban, Coxsbazar",3500,3500,2026-01-29,2026-02-26
1211856,Tender Notice_PDFs/COXDA_Tender_1211856.pdf,1,lots_legacy,1,Procurement and Installation of different items for Innovation of establishing a low cost STP,Coxs Bazar,12000,12000,2026-02-15,2026-06-15
1252250,Tender Notice_PDFs/COXDA_Tender_1252250.pdf,1,lots_legacy,1,Supply of Gift Items-Furniture-Equipments for Coxâ??s Bazar Development Authority. FY 2025-26,Coxs Bazar,25000,25000,2026-05-10,2026-06-10
1257433,Tender Notice_PDFs/COXDA_Tender_1257433.pdf,1,lots_phased,CoxDA/OF/2025-26/Vehicle_Sec,Hiring of Vehicle for use of Secretary,Coxs Bazar,,,2026-05-03,2027-04-29
1257498,Tender Notice_PDFs/COXDA_Tender_1257498.pdf,1,lots_legacy,1,Procurement of Miscellaneous Items under Revenue Budget of CoxDA. FY 2025-26,Coxs Bazar,29000,29000,2026-05-03,2026-06-30
1258384,Tender Notice_PDFs/COXDA_Tender_1258384.pdf,1,lots_legacy,CoxDA/Revenue/Goods/E/FY2025- 26,Supply & Installation of electrical indoor LED screen of CoxDA. FY 2025-26,"CoxDA Bhaban, Coxsbazar",5000,5000,2026-05-17,2026-05-28
1265472,Tender Notice_PDFs/COXDA_Tender_1265472.pdf,1,lots_phased,CoxDA/OF/2025-26/Vehicle_Sec,Hiring of Vehicle for use of Secretary,Coxs Bazar,,,2026-05-10,2026-12-31
1272190,Tender Notice_PDFs/COXDA_Tender_1272190.pdf,1,lots_legacy,1,"Printing, Binding and Supply of Different types of Survey Maps for ""Master Plan Preparation for Cox's Bazar District"" Project","Room No 522, CoxDA Office",70000,70000,2026-05-24,2026-06-23
1273100,Tender Notice_PDFs/COXDA_Tender_1273100.pdf,1,lots_legacy,1,"Procurement of Different types of Stationery for ""Master Plan Preparation for Cox's Bazar District"" Project","Room No 522, CoxDA Office",55000,55000,2026-05-24,2026-06-23
20558,Tender Notice_PDFs/COXDA_Tender_20558.pdf,1,lots_legacy,Lot No 2/2014- 2015,"Bank Protection Work on the Right Bank of Atrai River at Bontara from km. 4.362 to km. 4.487 = 125m in C/W Border River Protection & Development Project in Upazila-Sadar, Dist. Dinajpur.",Sadar,355000,355000,2015-04-15,2015-06-25
270190,Tender Notice_PDFs/COXDA_Tender_270190.pdf,1,lots_legacy,01,"Construction Works for Rehabilitation and Physical Development of Goldighi Pond Area (Earth Excavation, Site Protection, Walk way, Retaining wall, Cafeteria and Utility Building Construction, Electrification, Sanitary and Drainage System, Musical Fountain, Landscaping and Physical Development works) at Cox's Bazar Sadar Thana under CoxDA during the FY 2018-19 and 2019-20",Coxsbazar,4500000,4500000,2019-04-01,2020-04-01
270651,Tender Notice_PDFs/COXDA_Tender_270651.pdf,1,lots_legacy,1,Construction Works for Rehabilitation and Physical Development of Bazar Ghata Pond Area (Earth Excavation Site Protection Walk way Retaining wall Library and Utility Building Construction Electrification Sanitary and Drainage System Landscaping and Physical Development works) at Coxs Bazar Sadar Thana under CoxDA during the FY 2018-19 and 2019-20,Coxsbazar,2000000,2000000,2019-04-04,2020-04-05
276338,Tender Notice_PDFs/COXDA_Tender_276338.pdf,1,lots_legacy,01,Supply one (01) unit Wheel type Excavator with Bucket and Hydraulic Hammer for demolition purpose.,Coxsbazar,700000,700000,2019-04-04,2019-09-30
282186,Tender Notice_PDFs/COXDA_Tender_282186.pdf,1,lots_legacy,01,"Construction Works for Rehabilitation and Physical Development of Laldighi Pond Area (Earth Excavation, Site Protection, Walkway, Retaining wall, Community Hall, Tourist Information Center & Utility Building, Electrification, Sanitary & Drainage System, Landscaping and Physical Development works) at Cox's Bazar Sadar Thana under CoxDA.",Coxsbazar,3600000,3600000,2019-04-01,2020-04-01
417304,Tender Notice_PDFs/COXDA_Tender_417304.pdf,1,lots_legacy,1,Procurement of One No. of Twin Drum Vibratory Road Roller 4 to 6 Ton for Cox's Bazar Development Authority,CoxsBazar,250000,250000,2020-03-01,2020-05-17
418364,Tender Notice_PDFs/COXDA_Tender_418364.pdf,1,lots_legacy,1,Supply of Chain Dozer for Coxs Bazar Development Authority,CoxsBazar,500000,500000,2020-03-01,2020-06-30
424168,Tender Notice_PDFs/COXDA_Tender_424168.pdf,1,lots_legacy,1,"Supply of Note Book , Pustani, Box, Pen, Bag, Desk Calendar, Desk Calendar Box for Cox's Bazar Development Authority",CoxsBazar Pourashava,40000,40000,2020-03-01,2020-04-30
446283,Tender Notice_PDFs/COXDA_Tender_446283.pdf,1,lots_legacy,1,"Construction of Terracotta Feature Wall, Landscaping and Beautification at Laboni Point Coxâ??s Bazar",Coxs Bazar Pourashava,140000,140000,2020-04-05,2020-04-20
448324,Tender Notice_PDFs/COXDA_Tender_448324.pdf,2,lots_legacy,1,Improvement and Widening of Holiday Mor to Khurushkul Mor at Coxs Bazar between Ch. 0000-2450 Km,Cox's Bazar Pourashava,20000000,20000000,2020-05-03,2022-05-31
448434,Tender Notice_PDFs/COXDA_Tender_448434.pdf,2,lots_legacy,1,Improvement and Widening of Khurushkul Mor to Bus-Stand Mor at Coxs Bazar between Ch. 2450-4660 Km,Cox's Bazar Pourashava,20000000,20000000,2020-05-03,2022-05-31
461085,Tender Notice_PDFs/COXDA_Tender_461085.pdf,2,lots_legacy,1,Supply of Pay Loader (Wheel Type) for Coxâ??s Bazar Development Authority,Coxs Bazar Pourashava,500000,500000,2020-06-07,2020-06-30
461209,Tender Notice_PDFs/COXDA_Tender_461209.pdf,2,lots_legacy,01,Supply of Excavator (Wheel Type) for Coxs Bazar Development Authority,Coxs Bazar Pourashava,500000,500000,2020-06-07,2020-06-30
464552,Tender Notice_PDFs/COXDA_Tender_464552.pdf,1,lots_legacy,01,"Construction of terracotta feature wall, landscaping and beautification works at Darianagar, Marine Drive, Coxs Bazar",Coxs Bazar,185000,185000,2020-07-01,2020-07-30
464647,Tender Notice_PDFs/COXDA_Tender_464647.pdf,1,lots_legacy,01,"Construction of mural feature wall, landscaping and beautification works at Himchori, Marine Drive, Coxs Bazar",Coxs Bazar,185000,185000,2020-07-01,2020-07-30
509251,Tender Notice_PDFs/COXDA_Tender_509251.pdf,2,lots_legacy,1,Improvement and Widening of Khurushkul Mor to Bus-Stand Mor at Coxs Bazar between Ch. 2450-4660 Km,Coxs Bazar Pourashava,20000000,20000000,2021-01-03,2022-12-29
528460,Tender Notice_PDFs/COXDA_Tender_528460.pdf,1,lots_legacy,1,"Supply of Note Book with Pustani & Box, Desk Calendar with Desk Calendar Box and Bag for Coxs Bazar Development Authority. FY 2020-21",Coxs Bazar,30000,30000,2021-01-07,2021-01-28
540981,Tender Notice_PDFs/COXDA_Tender_540981.pdf,1,lots_legacy,1,Procurement of Different Surveying Equipment for Cox's Bazar Development Authority Office. FY 2020-21,"CoxDA Office, Coxs Bazr",45000,45000,2021-02-17,2021-03-04
545922,Tender Notice_PDFs/COXDA_Tender_545922.pdf,1,lots_legacy,1,Procurement of Different Categories Books for Archive and Library of Cox's Bazar Development Authority (CoxDA),"CoxDA Office, Coxs Bazar",50000,50000,2021-03-16,2021-04-29
547875,Tender Notice_PDFs/COXDA_Tender_547875.pdf,1,lots_legacy,1,Arboriculture Works under Construction of Multi Storied Office Building of Cox's Bazar Development Authority (CoxDA) Project,"CoxDA Office, Coxs Bazar",60000,60000,2021-03-21,2021-05-20
548292,Tender Notice_PDFs/COXDA_Tender_548292.pdf,1,lots_legacy,1,Acoustic System Works for Multi-purpose Hall of Building under â??Construction of Multi Storied Office Building of Coxâ??s Bazar Development Authority (CoxDA)â?� Project,"CoxDA Office, Coxs Bazar",390000,390000,2021-03-15,2021-05-31
548589,Tender Notice_PDFs/COXDA_Tender_548589.pdf,1,lots_legacy,1,"Supplying, Installation and Commissioning of Furniture for Office Building under â?? Construction of Multi Storied Office Building of Coxâ??s Bazar Development Authority (CoxDA)â?� Project","CoxDA Office, Coxs Bazar",1200000,1200000,2021-03-31,2021-06-28
549164,Tender Notice_PDFs/COXDA_Tender_549164.pdf,1,lots_legacy,1,"Interior Decoration Works of Building under ""Construction of Multi Storied Office Building of Cox's Bazar Development Authority (CoxDA)"" Project","CoxDA Office, Coxs Bazar",500000,500000,2021-04-01,2021-06-15
549299,Tender Notice_PDFs/COXDA_Tender_549299.pdf,1,lots_legacy,1,"Supplying, Installation, Testing and Commissioning of CCTV Works for Holiday More- Bazarghata-Larpara Bus Stand Main Road under ""Holiday More-Bazarghata-Larpara Bus Stand Main Road Re-Construction and Widening Project of Cox's Bazar District""",Holiday More- Bazarghata- Larpara Bus Stand Main Road and As per TDS,730000,730000,2021-04-01,2022-08-31
549317,Tender Notice_PDFs/COXDA_Tender_549317.pdf,1,lots_legacy,1,Construction of Sculpture at Darianagor Eco-Tourism Picnic Spot under CoxDA jurisdiction area,"Darianagor EcoTourism Picnic Spot, Coxs Bazar",188000,188000,2021-03-09,2021-05-31
549431,Tender Notice_PDFs/COXDA_Tender_549431.pdf,1,lots_legacy,1,"Supplying, Installation, Testing, Commissioning and Maintenance of WiFi Works for Holiday More-Bazarghata-Larpara (Bus Stand) Main Road under ""Holiday More-Bazarghata-Larpara Bus Stand Main Road Re-Construction and Widening Project of Cox's Bazar District""",Holiday More- Bazarghata- Larpara Bus Stand Main Road and As per TDS,2550000,2550000,2021-04-01,2022-09-29
549467,Tender Notice_PDFs/COXDA_Tender_549467.pdf,1,lots_legacy,1,Construction of Sculpture at Himchari Picnic Spot under CoxDA jurisdiction area,"Himchari Picnic Spot, Coxs Bazar",400000,400000,2021-03-08,2021-04-29
550266,Tender Notice_PDFs/COXDA_Tender_550266.pdf,1,lots_legacy,1,"Supply, Installation, Testing and Commissioning of Street Lights and other accessories Street Light 348 Nos, Service Bracket 174 Nos, Circuit Breaker 10 Nos, Energy Meter 8 Nos, Meter Box 10 Nos, Cable 20558 meter, Name Plate 174 Nos at Eidgah Jalalabad Road to Faraji Para Road and Mehergona to Maizpara Road, Eidgah, Coxâ??s Baza","Eidgah- Jalalabad Road to Faraji Para Road and Mehergona to Maizpara Road, Eidgah, Coxs Bazar",175000,175000,2021-03-11,2021-04-08
550267,Tender Notice_PDFs/COXDA_Tender_550267.pdf,1,lots_legacy,1,"Supply, Installation, Testing and Commissioning of Street Lights and other accessories Street Light 42 Nos, Service Bracket 42 Nos, Circuit Breaker 2 Nos, Energy Meter 2 Nos, Meter Box 2 Nos, Cable 4914 meter, Name Plate 42 Nos, Transformer 2 Nos, Earthing 2 Nos, Signboard 2 Nos at Eidgah to Uttar Maizpara Road, Coxâ??s Bazar","Eidgah to Uttar Maizpara Road, Coxs Bazar",30000,30000,2021-03-11,2021-04-11
563475,Tender Notice_PDFs/COXDA_Tender_563475.pdf,1,lots_legacy,1,08 Nos. of Billboard Installation at CoxDA Jurisdiction Area i.e. Cox's Bazar Sadar Upazila Ramu UpazilaTeknaf Upazila Ukhiya Upazilla Moheshkhali Upazila Chakaria Upazila Pekua Upazila Kutubdia Upazila,CoxDA Jurisdiction Area,23000,23000,2021-04-18,2021-05-31
563563,Tender Notice_PDFs/COXDA_Tender_563563.pdf,1,lots_legacy,1,Arboriculture Works under Construction of Multi Storied Office Building of Cox's Bazar Development Authority (CoxDA) Project,"CoxDA Office, Coxs Bazar",40000,40000,2021-05-05,2021-05-31
577378,Tender Notice_PDFs/COXDA_Tender_577378.pdf,1,lots_legacy,1,Arboriculture Works under Construction of Multi Storied Office Building of Cox's Bazar Development Authority (CoxDA) Project,"CoxDA Bhaban, Coxs Bazar",50000,50000,2021-05-25,2021-06-24
617410,Tender Notice_PDFs/COXDA_Tender_617410.pdf,1,lots_legacy,1,"LED Display Board works with Fitting and Fixing under the ""Holiday More-Bazarghata- Larpara (Bus Stand) Main Road Re-Construction and Widening"" Project of Coxs Bazar District",Cox's Bazar Sadar,550000,550000,2021-12-01,2022-05-31
617449,Tender Notice_PDFs/COXDA_Tender_617449.pdf,1,lots_legacy,1,"Supplying, Installation, Commissioning and Maintenance of Street Light and Electrification Works under ""Holiday Mor- Bazarghata -Larpara (Bus-Stand) Main Road Re-Construction and Widening Project of Cox's Bazar District.""",Cox's Bazar Sadar,2000000,2000000,2021-12-01,2022-05-31
617807,Tender Notice_PDFs/COXDA_Tender_617807.pdf,1,lots_legacy,1,"Beautification and Arboriculture Works at Holiday Mor to (Bus-Stand) Mor Cox's Bazar Road at Ch. 0+000-4+660 Km under ""Holiday Mor- Bazarghata -Larpara (Bus-Stand) Main Road Re-Construction and Widening Project of Cox's Bazar District.""",Cox's Bazar Sadar,2000000,2000000,2021-12-01,2022-05-31
618898,Tender Notice_PDFs/COXDA_Tender_618898.pdf,1,lots_legacy,1,"Foot Over Bridge Works at Holiday Mor to (Bus-Stand) Mor Cox's Bazar Road at Ch. 0+000- 4+660 under ""Holiday Mor- Bazarghata -Larpara (Bus-Stand) Main Road Re-Construction and Widening Project of Cox's Bazar District.""",Cox's Bazar Sadar,2500000,2500000,2021-12-01,2022-05-31
643399,Tender Notice_PDFs/COXDA_Tender_643399.pdf,1,lots_legacy,1,Supplying of Office Stationary Items for Coxs Bazar Development Authority. FY 2021-22,Coxs Bazar Sadar,25000,25000,2022-02-01,2022-03-03
644172,Tender Notice_PDFs/COXDA_Tender_644172.pdf,1,lots_legacy,1,Procurement of Different Categories Books for Archive and Library of Coxs Bazar Development Authority CoxDA,Cox's Bazar,11000,11000,2022-01-26,2022-02-28
647467,Tender Notice_PDFs/COXDA_Tender_647467.pdf,1,lots_legacy,1,"Supplying, Installation, Commissioning and Maintenance of Street Light and Electrification Works under ""Holiday Mor- Bazarghata -Larpara (Bus-Stand) Main Road Re-Construction and Widening Project of Cox's Bazar District.""",Coxs Bazar,2000000,2000000,2022-02-20,2022-05-31
653051,Tender Notice_PDFs/COXDA_Tender_653051.pdf,1,lots_legacy,1,Additional work of Sculpture at Darianagar Eco- Tourism Picnic Spot and Himchari Eco- Tourism Picnic Spot under CoxDA jurisdiction,"Darianagor and Himchari EcoTourism Picnic Spot, Coxs Bazar",120000,120000,2022-03-27,2022-05-25
653586,Tender Notice_PDFs/COXDA_Tender_653586.pdf,1,lots_legacy,1,Procurement of Different types of Goods for Advertisement and Publicity of Cox's Bazar Development Authority (CoxDA),Coxs Bazar,50000,50000,2022-02-15,2022-03-31
669151,Tender Notice_PDFs/COXDA_Tender_669151.pdf,1,lots_legacy,1,"Marine Drive Road Boro Jornna (Near of 16 ECB) to Reju Canal bridge (8.9km) & Chowfaldandi Bridge to Chowfaldandi Bazar, CNG Station to Bottoli,Haider para to Khamar para, Uttar para to Kalo Fakir para , KhunkarKhali to Pukuria Ghuna Street Light Project (5km)",CoxsBazar Sadar,200000,200000,2022-04-03,2022-05-31
681465,Tender Notice_PDFs/COXDA_Tender_681465.pdf,1,lots_legacy,1,"Construction of Sculpture at Shohid Minar (Gungach Tola Moor) Road and Motel Road, Cox's Bazar Pouroshova, Cox's Bazar. FY 2021-22",Coxs Bazar,230000,230000,2022-04-28,2022-06-27
703185,Tender Notice_PDFs/COXDA_Tender_703185.pdf,1,lots_legacy,1,"Supply, Installation and Commissioning of Street Light at Joyariyanala Union of Ramu Upazila, COx's Bazar. FY 2021-22",Ramu Upazila,130000,130000,2022-06-14,2022-06-29
703186,Tender Notice_PDFs/COXDA_Tender_703186.pdf,1,lots_legacy,1,Replacement of Damaged Parts and Maintenance Works of 5 Nos Heavy Vehicles of CoxDA. FY 2021-22,Coxs Bazar,25000,25000,2022-06-14,2022-06-29
733637,Tender Notice_PDFs/COXDA_Tender_733637.pdf,1,lots_legacy,1,"Special Repair and Maintainance Works for Goldighi, Bazarghata Pond and Laldighi at Cox's Bazar Pouroshova, Cox's Bazar",Coxs Bazar,100000,100000,2022-10-11,2022-10-31
771427,Tender Notice_PDFs/COXDA_Tender_771427.pdf,1,lots_legacy,1,Supply of different Stationary Items for Cox's Bazar Development Authority. FY 2022-23,Coxs Bazar,15000,15000,2023-01-15,2023-02-15
771464,Tender Notice_PDFs/COXDA_Tender_771464.pdf,1,lots_legacy,1,Supply of different types of Goods for Advertisement and Publicity and of Cox's Bazar Development Authority. FY 2022-23,Coxs Bazar,55000,55000,2023-01-15,2023-02-15
781008,Tender Notice_PDFs/COXDA_Tender_781008.pdf,1,lots_legacy,1,Supply of different Stationary Items for Cox's Bazar Development Authority at Cox's Bazar. FY 2022-23,Coxs Bazar,16000,16000,2023-02-15,2023-03-15
781011,Tender Notice_PDFs/COXDA_Tender_781011.pdf,1,lots_legacy,1,Supply of different types of Goods for Advertisement and Publicity of Cox's Bazar Development Authority at Cox's Bazar. FY 2022-23,Coxs Bazar,50000,50000,2023-02-15,2023-03-15
808075,Tender Notice_PDFs/COXDA_Tender_808075.pdf,1,lots_legacy,1,Supply of different Stationary Items for Cox's Bazar Development Authority at Cox's Bazar. FY 2022-23,Coxs Bazar,15000,15000,2023-04-20,2023-05-21
808097,Tender Notice_PDFs/COXDA_Tender_808097.pdf,1,lots_legacy,01,Construction of Sculpture at Moheskhali Jetty.,Moheskhali CoxsBazar,270000,270000,2023-04-30,2023-06-25
827087,Tender Notice_PDFs/COXDA_Tender_827087.pdf,1,lots_legacy,1,"Supply and Related Service for Installation of CCTV Camera, Access Control Device, UPS, Glass Door and Other Accessories at CoxDA Office. FY 2022-23",Coxs Bazar,28000,28000,2023-06-01,2023-06-14
834339,Tender Notice_PDFs/COXDA_Tender_834339.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of Computer and Accessories under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",75000,75000,2023-06-11,2023-12-31
835443,Tender Notice_PDFs/COXDA_Tender_835443.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of Survey Equipment under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",145000,145000,2023-06-11,2023-12-31
835607,Tender Notice_PDFs/COXDA_Tender_835607.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of Office Furniture under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",125000,125000,2023-06-11,2023-12-31
835662,Tender Notice_PDFs/COXDA_Tender_835662.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of Camera and Accessories under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",17000,17000,2023-06-11,2023-06-15
835847,Tender Notice_PDFs/COXDA_Tender_835847.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of Office Stationery under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",22000,22000,2023-06-11,2023-06-15
837643,Tender Notice_PDFs/COXDA_Tender_837643.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of GIS & Planning under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",500000,500000,2023-06-13,2023-12-31
837644,Tender Notice_PDFs/COXDA_Tender_837644.pdf,1,lots_legacy,1,"Supply, Installation, Testing & Commissioning of Machineries and Office Equipment under ""Master Plan Preparation for Cox's Bazar District (1st Revised)"" Project of Cox's Bazar Development Authority (CoxDA)","Coxs Bazar Development Authority, Coxs Bazar",590000,590000,2023-06-13,2023-12-31
891971,Tender Notice_PDFs/COXDA_Tender_891971.pdf,1,lots_legacy,01,Repair and maintenance works for 5no.Sculpture of CoxDA.,Coxs Bazar Sadar,65000,65000,2023-11-16,2023-12-28
916128,Tender Notice_PDFs/COXDA_Tender_916128.pdf,1,lots_legacy,01,Repair and maintenance works for 5no.Sculpture of CoxDA.,Coxs Bazar Sadar,65000,65000,2023-12-20,2025-01-30
925146,Tender Notice_PDFs/COXDA_Tender_925146.pdf,1,lots_legacy,1,Supply of different Stationery Items for Cox's Bazar Development Authority at Cox's Bazar. FY 2023-24,Coxs Bazar,20000,20000,2024-01-23,2024-02-22
925988,Tender Notice_PDFs/COXDA_Tender_925988.pdf,1,lots_legacy,01,Construction of Sculpture at Moheshkhali Jetty. FY 2023-24 (2nd Phase),"Moheskhali, CoxsBazar",270000,270000,2024-01-18,2024-05-30
935064,Tender Notice_PDFs/COXDA_Tender_935064.pdf,1,lots_legacy,1,Supply of Gift Items for Cox's Bazar Development Authority at Cox's Bazar. FY 2023-24,Coxs Bazar,50000,50000,2024-02-15,2024-03-14
935974,Tender Notice_PDFs/COXDA_Tender_935974.pdf,1,lots_legacy,01,The purchase of necessary equipment for the celebration of Bangladesh's national days.,CoxDA Bhabon,20000,20000,2024-03-07,2024-03-28
937128,Tender Notice_PDFs/COXDA_Tender_937128.pdf,1,lots_legacy,1,"Purchase of Goods for Deep Cleaning of Each Floor at The 10 Storied Building of Cox's Bazar Development Authority, FY 2023-24",Coxs Bazar,35000,35000,2024-02-15,2024-06-13
949817,Tender Notice_PDFs/COXDA_Tender_949817.pdf,1,lots_legacy,01,Maintenance of Speed boat of CoXDA. (FY 2023-24),Coxs Bazar Sadar,2000,2000,2024-03-06,2024-03-17
949919,Tender Notice_PDFs/COXDA_Tender_949919.pdf,1,lots_legacy,01,"supply, installation and services for various parts of heavy vehicles, ACs, and generators of CoxDA.",Coxs Bazar Sadar,27000,27000,2024-03-10,2024-03-31
950811,Tender Notice_PDFs/COXDA_Tender_950811.pdf,1,lots_legacy,01,Purchase of furniture by Cox's Bazar Development Authority. (FY 2023-2024),Coxs Bazar Sadar,13000,13000,2024-03-14,2024-03-31
951146,Tender Notice_PDFs/COXDA_Tender_951146.pdf,1,lots_legacy,01,The purchase of necessary equipment for the celebration of Bangladesh's national days.,CoxDA Bhaban,20000,20000,2024-03-12,2024-03-28
963968,Tender Notice_PDFs/COXDA_Tender_963968.pdf,1,lots_legacy,1,"Supply of Goods and Related Service for Organizing Various Seminars by Coxâ??s Bazar Development Authority, Cox's Bazar. FY 2023-24",Coxs Bazar,40000,40000,2024-05-02,2024-06-20
963987,Tender Notice_PDFs/COXDA_Tender_963987.pdf,1,lots_legacy,1,"Supply, Installation & Commissioning of Street Lights in Maheshkhali Upazilla of Cox's Bazar District. FY 2023-24",Coxs Bazar,40000,40000,2024-05-02,2024-06-20
966347,Tender Notice_PDFs/COXDA_Tender_966347.pdf,1,lots_legacy,CoxDA/Rev/Goods/OTM/EE/FY2023- 24,Purchase of engineering tools and other equipment.FY2023-24,Coxs Bazar,28000,28000,2024-05-02,2024-05-15
971720,Tender Notice_PDFs/COXDA_Tender_971720.pdf,1,lots_legacy,1,"Construction of Sub Station Building, Pump House and Other Remaining Civil and Electromechanical Works of the Residential Flats under Cox's Bazar Development Authority ResidentialÂ FlatÂ Project-1",Coxs Bazar,4800000,4800000,2024-05-20,2024-11-20
971832,Tender Notice_PDFs/COXDA_Tender_971832.pdf,1,lots_legacy,1,"Supply of Computer, Printer and other relevant accessories for Cox's Bazar Development Authority. FY 2023-24",Coxs Bazar,15000,15000,2024-05-15,2024-05-30
975403,Tender Notice_PDFs/COXDA_Tender_975403.pdf,1,lots_legacy,1,"Supply, Installation, Testing and Commissioning of Machineries and Office Equipment (Toner, Cartridge, Ammonia Print Machine Scanner etc.) under ""Master Plan Preparation for Cox's Bazar District"" Project of Cox's Bazar Development Authority (CoxDA)","CoXDA, Coxs Bazar",50000,50000,2024-05-12,2024-05-26
976291,Tender Notice_PDFs/COXDA_Tender_976291.pdf,1,lots_legacy,1,"Supply, Installation, Testing and Commissioning Stationery Items under ""Master Plan Preparation for Cox's Bazar District"" Project of Cox's Bazar Development Authority (CoxDA)","CoXDA, Coxs Bazar",50000,50000,2024-05-12,2024-05-26
976770,Tender Notice_PDFs/COXDA_Tender_976770.pdf,1,lots_legacy,1,"Supply, Installation, Testing, Commissioning of different items for 9 workshops and arrangement of 9 workshops at 9 Upazilas of Cox's Bazar District under ""Master Plan Preparation for Cox's Bazar District"" Project",9 Upazilas of Coxs Bazar District,35000,35000,2024-05-15,2024-06-30
978265,Tender Notice_PDFs/COXDA_Tender_978265.pdf,1,lots_legacy,1,"Supply of Goods and Related Service for Organizing Various Seminars by Coxâ??s Bazar Development Authority, Cox's Bazar. FY 2023-24",Coxs Bazar,40000,40000,2024-05-23,2024-06-27
1251658,Tender Notice_PDFs/GDA_Tender_1251658.pdf,2,lots_phased,gda-dev- 2025-2026- 2-3,Supply of manpower through outsourcing for computing services and survey services under the project titled Road Construction Survey mentioned in DAP in the areas under the jurisdiction of Gazipur Development Authority.,gazipur development authority,,,2026-05-14,2027-06-30
1251658,Tender Notice_PDFs/GDA_Tender_1251658.pdf,3,lots_phased,gda- dev- 2025- 2026- 2-3,Supply of manpower through outsourcing for computing services and survey services under the project titled Road Construction Survey mentioned in DAP in the areas under the jurisdiction of Gazipur Development Authority.,gazipur development authority,,,2026-05-14,2027-06-30
1251658,Tender Notice_PDFs/GDA_Tender_1251658.pdf,3,lots_phased,gda- dev- 2025- 2026- 2-3,Supply of manpower through outsourcing for computing services and survey services under the project titled Road Construction Survey mentioned in DAP in the areas under the jurisdiction of Gazipur Development Authority.,gazipur development authority,,,,2027-06-30
1251756,Tender Notice_PDFs/GDA_Tender_1251756.pdf,2,lots_phased,gda-dev-2025-2026- 2-1,"Hiring transportation for inspection through outsourcing under the project titled ""Road Construction Survey",gazipur,,,2026-05-14,2027-06-30
1251756,Tender Notice_PDFs/GDA_Tender_1251756.pdf,2,lots_phased,gda- dev- 2025- 2026- 2-1,"Hiring transportation for inspection through outsourcing under the project titled ""Road Construction Survey",gazipur,,,2026-05-14,2027-06-30
1251756,Tender Notice_PDFs/GDA_Tender_1251756.pdf,2,lots_phased,gda- dev- 2025- 2026- 2-1,"Hiring transportation for inspection through outsourcing under the project titled ""Road Construction Survey",gazipur,,,,2027-06-30
