tender_id,notice_file,notice_pages,ministry,ministry_id,agency,agency_id,procuring_entity,procuring_entity_id,procuring_entity_code,district,district_original,city,thana,country,phone,procurement_nature,procurement_type,event_type,invitation_for,invitation_ref,status,status_original,app_id,method,budget_type,source_of_funds,development_partner,project_code,project,project_id,package_no,package_description,category,evaluation_type,document_price_taka,document_price_original,payment_mode,published_date,last_selling_date,premeeting_start,premeeting_end,closing_date,opening_date,security_last_date,security_valid_until,tender_valid_until,inviting_officer,inviting_officer_id,inviting_officer_designation,lots,eligibility_source_field,eligibility_page,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_published,eligibility_substantive,eligibility_categories,amended,amendment_no,amendment_no_printed,amendment_changed_fields,eligibility_amended
1036609,Tender Notice_PDFs/CDA_Tender_1036609.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Construction Division-2,og0084,2003,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-619956,Works,NCT,TENDER,Tender - Single Lot,CD2/CP1/E-4/24-25,,,208818,Open Tendering Method (OTM),Development,Government,,13201-01-22430089700,Widening and Development of Important Roads of Chattogram City Cluster Project- 1,pr0088,CD2/CP-1/E-4,"Site preparation work; Construction work; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Construction work for water projects; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work","Site preparation work; Construction work; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Construction work for water projects; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work",Lot wise,4000,4000,Payment through Bank,2025-01-01,2025-01-28,2025-01-01,2025-01-09,2025-01-29,2025-01-29,2025-01-28,2025-05-27,2025-04-29,Md. Shamim,pp0121,Executive Engineer,1,eligibility,1,1161,7,n.,yes,yes,experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,no,,,,no
1044421,Tender Notice_PDFs/CDA_Tender_1044421.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Office of the Secretary,og0086,,Chattogram,Chattogram,Chittagong,kotowali,Bangladesh,031-620988,Goods,NCT,TENDER,Tender - Single Lot,PO/79/tender-3,,,209370,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,PO/79/Part-3-1,Supply of Stationary items at CDA,"Paper stationery and other items; Paper or paperboard articles; Paper or paperboard registers; Albums for samples; Paper or paperboard registers, account books, binders, forms and other articles of printed stationery; Publishing services; Bookbinding and finishing services;",Lot wise,1000,1000,Payment through Bank,2024-12-24,2025-01-07,2024-12-24,2024-12-30,2025-01-07,2025-01-07,2025-01-07,2025-05-05,2025-04-07,RABINDRA CHAKMA,pp0124,Secretary,1,eligibility,1,852,3,(n),yes,yes,cert_other;cert_trade_licence;cert_vat;financial_credit;financial_liquid;financial_turnover,no,,,,no
1048608,Tender Notice_PDFs/CDA_Tender_1048608.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Management Information System (MIS),og0038,,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-625562,Goods,NCT,TENDER,Tender - Single Lot,MIS/P/2024/26/P-24-01,,,209470,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,MIS/P/2024/26/P-24-01,Supply of Computer and Computer Accessories at CDA.,"Photocopying and printing equipment; Office machinery, equipment and supplies except computers; Computer hardware; Computer systems; Computer equipment and supplies; Computer-related services;Computer-related management services;Computer support and consultancy services;Computer network services;Computer upgrade services;Computer audit services;Computer testing services;Computer back-up services;Computer catalogue conversion services;Computer-related professional services",Lot wise,1000,1000,Payment through Bank,2024-12-12,2024-12-29,2024-12-12,2024-12-19,2024-12-30,2024-12-30,2024-12-29,2025-04-27,2025-03-30,Md Mostafa Jamal,pp0069,System Analyst,1,eligibility,1,933,3,(n),yes,yes,cert_bin;cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;financial_credit;financial_liquid;financial_turnover;other,no,,,,no
1049598,Tender Notice_PDFs/CDA_Tender_1049598.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Project Director(M.Uddin), Chittagong Development Authority",og0031,,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-624401,Goods,NCT,TENDER,Tender - Single Lot,PD/CM Banglow/E-113/259,,,204772,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,PD/CM Banglow/E-113,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.","Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Seats, chairs and associated parts; Non-domestic furniture; Domestic furniture; Miscellaneous furniture and equipment; School furniture;",Lot wise,1000,1000,Payment through Bank,2025-05-28,2025-06-18,2025-05-28,2025-06-15,2025-06-19,2025-06-19,2025-06-19,2025-10-15,2025-09-17,A. H. M. Mesbah Uddin,pp0024,Project Director,1,eligibility,1,1265,9,n.,yes,yes,cert_other;cert_vat;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other,no,,,,no
1054573,Tender Notice_PDFs/CDA_Tender_1054573.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Office of the Secretary,og0086,,Chattogram,Chattogram,Chittagong,Sitakunda,Bangladesh,031-620988,Goods,NCT,TENDER,Tender - Single Lot,25.47.1500.017.07.008.24,,,209370,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,PO/79/Part-3-2,Supply of staff winter dress at CDA,Cloth; Textile fabrics and related items; Coats; Retail trade services of office items; Retail trade services;,Lot wise,1000,1000,Payment through Bank,2024-12-24,2025-01-07,2024-12-24,2024-12-30,2025-01-07,2025-01-07,2025-01-07,2025-06-04,2025-05-07,RABINDRA CHAKMA,pp0124,Secretary,1,eligibility,1,852,3,(n),yes,yes,cert_other;cert_trade_licence;cert_vat;financial_credit;financial_liquid;financial_turnover,no,,,,no
108836,Tender Notice_PDFs/CDA_Tender_108836.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (Muradpur Flyover),og0024,,Chittagong,Chittagong,Chittagong,Kotowali,Bangladesh,031-632113,Works,NCT,TENDER,Tender - Single Lot,pd/mflyover/e-5797/t-01,Contract Awarded,Contract Awarded,55532,Open Tendering Method (OTM),Development,Government,,E-5797,"Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction",pr0022,e-TENDER mflyover-01,"Removal of existing 33/11/.4 KV electric pole, sub-station and road crossing line from alignment and re-installation work by alternative method under construction of Muradpur 2 no. Gate and GEC Junction Flyover 2 no. gate to Lalkhan bazaar and 2 no. gate to Baby Super Market","Electricity; Electricity, gas, nuclear energy and fuels, steam, hot water and other sources of energy;",Lot wise,4000,4000,Payment through Bank,2017-06-21,2017-07-19,2017-06-21,2017-07-12,2017-07-20,2017-07-20,2017-07-20,2017-10-16,2017-09-18,Md. Mahfuzur Rahman,pp0017,Executive Engineer,1,eligibility,1,498,3,(a),yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_similar;financial_credit;other,no,,,,no
110297,Tender Notice_PDFs/CDA_Tender_110297.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (Saltgola),og0026,,Chittagong,Chittagong,Chittagong,Kotowali,Bangladesh,031-638303,Works,NCT,TENDER,Tender - Single Lot,cd-1/e-saltgola/1458,Contract Awarded,Contract Awarded,45876,Open Tendering Method (OTM),Own Fund,Own fund,,N/A,"Construction of Dormitory for Working Women and Commercial Building at Salttgola, Chittagong",pr0024,e-TENDER CD1/e-saltgola/1458,"Construction of Cast in situ pile, Mat foundation, two nos of under ground basement, super structure, installation of lift, installation of escalator, installation of substation, installation of generator, deep tube well, sanitary and plumbing work, Internal electrification works etc.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Lot wise,4000,4000,Payment through Bank,2017-07-04,2017-07-18,2017-07-04,2017-07-13,2017-07-19,2017-07-19,2017-07-19,2017-11-14,2017-10-17,A. A. M. Habibur Rahman,pp0020,Project Director,0,eligibility,1,1387,4,(a),yes,yes,cert_other;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;subcontract,no,,,,no
1111428,Tender Notice_PDFs/CDA_Tender_1111428.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Project Director(M.Uddin), Chittagong Development Authority",og0031,,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-624401,Works,NCT,TENDER,Tender - Single Lot,ExEn/OficeBuilding/E-126/262,,,204772,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,ExEn/OficeBuilding/E-126,"Construction of Boundary Wall at CDA Office Building, Chattogram.","Iron ores; Metal ores; Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator",Lot wise,2000,2000,Payment through Bank,2025-05-28,2025-06-18,2025-05-28,2025-06-15,2025-06-19,2025-06-19,2025-06-19,2025-10-15,2025-09-17,A. H. M. Mesbah Uddin,pp0024,Project Director,1,eligibility,1,1039,7,n.,yes,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,no,,,,no
1115432,Tender Notice_PDFs/CDA_Tender_1115432.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Construction Division-1, Chattogram Development Authority",og0021,2001,Chattogram,Chattogram,Chittagong,Kotowali,Bangladesh,880-189545106,Works,NCT,TENDER,Tender - Single Lot,ExEn-1/E-1489/581,,,204202,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,ExEn-1/E-1489/2025,"Bricks Drain and Herring bond works at A Block Road, CDA Silimpur Residential Area Chattogram.","Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator",Lot wise,2000,2000,Payment through Bank,2025-05-29,2025-06-18,2025-05-29,2025-06-15,2025-06-19,2025-06-19,2025-06-19,2025-10-15,2025-09-17,Mohammad Hasan,pp0008,Executive Engineer,1,eligibility,1,1039,7,n.,yes,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,no,,,,no
1123107,Tender Notice_PDFs/CDA_Tender_1123107.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Project Director(M.Uddin), Chittagong Development Authority",og0031,,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-624401,Works,NCT,TENDER,Tender - Single Lot,ExEn/E-127/266,,,204772,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,ExEn/e-127,"Maintenance work and other related works of Flat No- 11/7/A, 11/3/A, 11/2/B, 2/3, 9/1, 9/2, 8/2, 3/1, 3/5, 6/1, 7/9, 7/12 t Mehedibag CDA staff Quarter Chattogram.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Lot wise,1000,1000,Payment through Bank,2025-06-19,2025-07-02,2025-06-19,2025-06-26,2025-07-03,2025-07-03,2025-07-03,2025-10-29,2025-10-01,A. H. M. Mesbah Uddin,pp0024,Project Director,1,eligibility,1,1080,7,n.,yes,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,no,,,,no
1124277,Tender Notice_PDFs/CDA_Tender_1124277.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director(Elevated ExpressWay),og0087,,Chattogram,Chattogram,Chattogram,Chattogram City Corporation,Bangladesh,031-632113,Works,NCT,TENDER,Tender - Single Lot,25.47.1500.046.14.302.25,,,214163,Open Tendering Method (OTM),Revenue,Government,,13201-01-224129200,Construction of Elevated Expressway from Lalkhan Bazar to Sha-Amanat Airport in Chattogram Town.,pr0094,EEW/01/2024-25,"Everyday Cleaning work of Elevated Expressway from WASA to Sea-Beach including all Ramps, Railing & other Ancillary Works.","Street-cleaning services; Cleaning and sanitation services in urban or rural areas, and related services;",Lot wise,4000,4000,Payment through Bank,2025-06-04,2025-06-25,2025-06-04,2025-06-18,2025-06-26,2025-06-26,2025-06-26,2025-10-22,2025-09-24,Mohammed Mahafuzur Rahman,pp0125,Executive Engineer,1,eligibility,1,1609,9,n.,yes,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
