agency,agency_id,amended,amendment_changed_fields,amendment_no,amendment_no_printed,app_id,budget_type,category,city,closing_date,country,development_partner,district,district_original,document_price_original,document_price_taka,eligibility_amended,eligibility_categories,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_page,eligibility_published,eligibility_source_field,eligibility_substantive,evaluation_type,event_type,invitation_for,invitation_ref,inviting_officer,inviting_officer_designation,inviting_officer_id,last_selling_date,lots,method,ministry,ministry_id,notice_file,notice_pages,opening_date,package_description,package_no,payment_mode,phone,premeeting_end,premeeting_start,procurement_nature,procurement_type,procuring_entity,procuring_entity_code,procuring_entity_id,project,project_code,project_id,published_date,security_last_date,security_valid_until,source_of_funds,status,status_original,tender_id,tender_valid_until,thana,advertised_date,award_agency,award_agency_id,award_development_partner,award_district,award_file,award_for,award_invitation_ref,award_method,award_ministry,award_ministry_id,award_officer,award_officer_designation,award_officer_id,award_package_name,award_package_no,award_pages,award_procuring_entity,award_procuring_entity_code,award_procuring_entity_id,award_project,award_project_id,award_source_of_funds,award_template,beneficial_owners,bid_counts_printed,contract_description,contract_no,contract_signed_on_time,contract_value_original,contract_value_taka,noa_date,performance_security_on_time,signed_date,tenders_received,tenders_responsive,tenders_sold,winner,winner_id,winner_location,winner_page,winner_tenderer_id,work_completion_date,work_location,work_start_date,notice_document_found,award_document_found,outcome_source
Chittagong Development Authority,og0009,no,,,,196376,Own Fund,"Generators; Electric motors, generators and transformers; Solar energy; Solar panels; Solar installation;",Chittagong,2023-12-21,Bangladesh,,Chattogram,Chattogram,4000,4000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1131,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/generator/e56/308,Kazi Kader Newaz,Assistant Engineer,pp0006,2023-12-20,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_909308.pdf,2,2023-12-21,"Supply, Installation, Testing & Commissioning of 2x400 KVA Diesel Generator & Solar Panel System Work at CDA SQUARE Project.",Pd/cdasqr/generator/e56,Payment through Bank,031-625562,2023-12-05,2023-11-29,Works,NCT,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",CDA Square-02,pr0005,2023-11-29,2023-12-21,2024-04-17,Own fund,Re-Tendered,Re-Tendered,909308,2024-03-20,Kotowali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,45362,Own Fund,"Site preparation work; Construction work; Works for complete or part construction and civil engineering work; Building installation work; Construction work; Building completion work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work",Chittagong,2017-04-06,Bangladesh,,Chittagong,Chittagong,2000,2000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1142,7,n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/SHISHU KANON SCHOOL/E-29/52,A H M Mesbah Uddin,Assistant Engineer,pp0024,2017-04-05,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_91142.pdf,2,2017-04-06,Construction of 02( two) storied building with 05 (five) storied foundation of CDA Mehedibaag shishu kanon kindergarten school.,e-TENDERpd/shishukanonschool/e-29,Payment through Bank,880-1819632466,2017-03-29,2017-03-16,Works,NCT,Project Director(Shishukanon),,og0078,CDA Mehedibag Shishukanon Kindergarten School,,pr0086,2017-03-16,2017-04-06,2017-09-01,Own fund,Contract Awarded,Contract Awarded,91142,2017-08-04,Kotowali,2017-03-16,Chittagong Development Authority,og0009,NA,Chittagong,Contract_Awards_PDFs/Tender_91142.pdf,Works,PD/SHISHU KANON SCHOOL/E-29/52,OTM,Ministry of Housing and Public Works,og0001,A H M Mesbah Uddin,Assistant Engineer,pp0024,Construction of 02 two storied building with 05 five storied foundation of CDA Mehedibaag shishu kanon kindergarten school.,e-TENDERpd/shishukanonschool/e-29,1,Project Director(Shishukanon),,og0078,CDA Mehedibag Shishukanon Kindergarten School,pr0086,Own Fund Own fund,supplier,0,yes,Construction of 02( two) storied building with 05 (five) storied foundation of CDA Mehedibaag shishu kanon kindergarten school.,PD/SHISHU KANON SCHOOL/E-29/52,yes,17986218.291,17986218.291,2017-04-27,yes,2017-05-16,12,4,15,M/S. Raquib & Brothers,co0012,"34/B, Buddhist Temple Road, Nandankanan, Chittagong.",1,,2018-05-02,CDA Mehedibag Staff Quartter Chittagong,2017-05-03,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196715,Development,"Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Electrical installation work; Insulation work; Plumbing and sanitary works; Fencing, railing and safety equipment installation work; Mechanical installations; Building completion work; Plastering work; Joinery and carpentry installation work; Floor and wall covering work; Painting and glazing work; Other building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Hire of cranes with operator;Hire of earthmoving equipment with operator",Chittagong,2024-01-30,Bangladesh,,Chattogram,Chattogram,4000,4000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1203,7,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,25.47.1500.050.58.412.23-132,Kazi Hasan Bin Shams,Chief Engineer,pp0105,2024-01-29,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_917088.pdf,2,2024-01-30,"Construction of Two Storied Mosque Building, RCC Retaining Wall & 2 nos. Culvert at Resettlement Site-2 under CCORRP.",PD/CCORRP/RS-2/Tender/412,Payment through Bank,031-625562,2023-12-31,2023-12-19,Works,NCT,Project Director (CCORRP),,og0066,Chattogram City Outer Ring Road (Patenga to Sagorika),224028100,pr0071,2023-12-19,2024-01-30,2024-05-27,"Government, Aid or Grant",Contract Awarded,Contract Awarded,917088,2024-04-29,Chattogram City Corporation,2023-12-19,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_917088.pdf,Works,25.47.1500.050.58.412.23-132,OTM,Ministry of Housing and Public Works,og0001,Kazi Hasan Bin Shams,Chief Engineer,pp0105,"Construction of Two Storied Mosque Building, RCC Retaining Wall & Culvert at Resettlement Site-2 under CCORRP",PD/CCORRP/RS-2/Tender/412,1,Project Director (CCORRP),,og0066,Chattogram City Outer Ring Road (Patenga to Sagorika),pr0071,"Development Government, Aid or Grant",supplier,0,yes,"Construction of Two Storied Mosque Building, RCC Retaining Wall & Culvert at Resettlement Site-2 under CCORRP",PD/CCRRP/RS-2/Tender/412/162,yes,161596296.849,161596296.849,2024-04-23,yes,2024-05-05,1,1,1,"RNYB Ltd - A.T Construction JV. JV. ( JVCA Partners [Business Share]: RN Yakub & Brothers Private Limited. [51.000%] , M/S. A.T. Construction [49.000%] )",co0277,"Azad Bhaban (6th floor), Jamal Khan Road, Chattogram",1,,2024-12-31,"North Patenga, South Patenga",2024-02-22,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196715,Development,"Electric motors, generators and transformers; Electrical machinery, apparatus, equipment and consumables; Electric motors; Generators; Alternators; Cooling towers; Ballasts for discharge lamps or tubes; Parts of electric motors, generators and transformers; Transformers; Electricity distribution and control apparatus; Insulated wire and cable; Electrical machinery, apparatus, equipment and consumables; Accumulators, primary cells and primary batteries; Lighting equipment and electric lamps; Electrical machinery, apparatus, equipment and consumables;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Primary cells;Primary batteries;Electric accumulators;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment",Chittagong,2024-01-25,Bangladesh,,Chattogram,Chattogram,4000,4000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1315,6,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,25.47.1500.050.58.409.23-131,Kazi Hasan Bin Shams,Chief Engineer,pp0105,2024-01-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_917456.pdf,2,2024-01-25,"Supplying, fitting, fixing, and installation of street lights with other accessories along the two sides of the main road of the project named ""Chittagong Citiy Outer Ring Road Project"".",PD/CCORRP/SL/ESTIMATE/409,Payment through Bank,031-625562,2023-12-28,2023-12-18,Works,NCT,Project Director (CCORRP),,og0066,Chattogram City Outer Ring Road (Patenga to Sagorika),224028100,pr0071,2023-12-18,2024-01-25,2024-05-22,"Government, Aid or Grant",Re-Tendered,Re-Tendered,917456,2024-04-24,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,200566,Own Fund,"Electronic, electromechanical and electrotechnical supplies; Electrical machinery, apparatus, equipment and consumables; Electronic equipment; Electromechanical equipment; Electrotechnical equipment;",Chittagong,2024-01-02,Bangladesh,,Chattogram,Chattogram,4000,4000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_count;experience_general;experience_similar;other;subcontract,838,6,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,SE2/Saltgola/CentralAC/50/,A A M Habibur Rahman,Superintending Engineer,pp0020,2024-01-01,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_918775.pdf,2,2024-01-02,"Supply And Installation of Central AC System Including all required equipment and accessories at ""CDA Saltgola Shopping Mall"", Chattogram.",SE2/Saltgola/CentralAC/50,Payment through Bank,031-2853900,2023-12-14,2023-12-05,Works,NCT,Superintending Engineer-2,,og0079,Not applicable,Not applicable,pr0093,2023-12-05,2024-01-02,2024-04-29,Own Fund,Contract Awarded,Contract Awarded,918775,2024-04-01,Chattogram City Corporation,2023-12-05,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_918775.pdf,Works,SE2/Saltgola/CentralAC/50/,OTM,Ministry of Housing and Public Works,og0001,A A M Habibur Rahman,Superintending Engineer,pp0020,"Supply And Installation of Central AC System Including all required equipment and accessories at ""CDA Saltgola Shopping Mall"", Chattogram.",SE2/Saltgola/CentralAC/50,1,Superintending Engineer-2,,og0079,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Supply And Installation of Central AC System Including all required equipment and accessories at ""CDA Saltgola Shopping Mall""",SE2/Saltgola/CentralAC/50/41,yes,74713501.266,74713501.266,2024-01-16,yes,2024-01-25,1,1,2,Cooltech Corporation,co0093,"29 MM Ali Road, Lalkhan Bazar, Chattogram, Bangladesh",1,,2024-04-08,"Saltgola, Chattogram",2024-01-09,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,200761,Own Fund,Computer-related management services; Computer-related services; Computer support and consultancy services; Computer network services; Computer-related services; Computer upgrade services; Computer testing services; Computer-related services; Computer-related professional services;,Chittagong,2024-01-09,Bangladesh,,Chattogram,Chattogram,1000,1000,no,experience_general;experience_similar;other,477,5,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,CDA/MIS/ITS/23/04,Md Mostafa Jamal,System Analyst,pp0069,2024-01-08,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_924201.pdf,2,2024-01-09,"Maintenance and support work for IT system in CDA (Engg, Accounts & MIS)",CDA/MIS/ITS/23/04,Payment through Bank,031-625562,2023-12-31,2023-12-26,Works,NCT,Management Information System (MIS),,og0038,Not applicable,Not applicable,pr0093,2023-12-26,2024-01-08,2024-05-06,Own Fund,,,924201,2024-04-08,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,201496,Own Fund,"Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment; Repair, maintenance and installation services;Repair, maintenance and associated services related to aircraft and other equipment;Repair, maintenance and associated services related to railways and other equipment;Repair, maintenance and associated services related to roads and other equipment;Repair, maintenance and associated services related to marine and other equipment",Chattogram,2024-03-12,Bangladesh,,Chattogram,Chattogram,4000,4000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,839,5,n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/Cantonment/tender/416/142,Rajib Das,Executive Engineer,pp0096,2024-03-11,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_943936.pdf,2,2024-03-12,"Maintenance work of roads from Helipad to Multipurpose training shed, other connecting road from different structures etc. at Halishahar cantonment area.",EXEN/PD/CANTOMENT/406,Payment through Bank,031-624401,2024-02-20,2024-02-12,Works,NCT,Project Director(CRBKRKBC),,og0081,Not applicable,Not applicable,pr0093,2024-02-12,2024-03-12,2024-07-08,Own Fund,Contract Awarded,Contract Awarded,943936,2024-06-10,Chattogram City Corporation,2024-02-12,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_943936.pdf,Works,PD/Cantonment/tender/416/142,OTM,Ministry of Housing and Public Works,og0001,Rajib Das,Executive Engineer,pp0096,"Maintenance work of roads from Helipad to Multipurpose training shed, other connecting road from different structures etc. at Halishahar cantonment area.",EXEN/PD/CANTOMENT/406,1,Project Director(CRBKRKBC),,og0081,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Maintenance work of roads from Helipad to Multipurpose training shed, other connecting road from different structures etc. at Halishahar cantonment area.",PD/Cantonment/Tender/416/160,yes,30185717.777,30185717.777,2024-04-22,yes,2024-04-29,1,1,1,"RNYB Ltd. - Alif Enterprise JV. ( JVCA Partners [Business Share]: RN Yakub & Brothers Private Limited. [60.000%] , Alif Enterprise [40.000%] )",co0291,"Azad Bhaban 6th Floor, Jamal Khan, ctg",1,,2024-04-30,"Halishahar, Cantonment, Chattogram",2024-03-24,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196376,Own Fund,"Generators; Electric motors, generators and transformers; Solar energy; Solar panels; Solar installation;",Chittagong,2024-03-19,Bangladesh,,Chattogram,Chattogram,4000,4000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1174,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/generator/e56/352,Kazi Kader Newaz,Assistant Engineer,pp0006,2024-03-18,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_944909.pdf,2,2024-03-19,"Supply, Installation, Testing & Commissioning of 2x400 KVA Diesel Generator & Solar Panel System Work at CDA SQUARE Project.",Pd/cdasqr/generator/e56,Payment through Bank,031-625562,2024-03-04,2024-02-25,Works,NCT,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",CDA Square-02,pr0005,2024-02-25,2024-03-19,2024-07-15,Own fund,Contract Awarded,Contract Awarded,944909,2024-06-17,Kotowali,2024-02-25,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_944909.pdf,Works,PD/CDASQR/generator/e56/352,OTM,Ministry of Housing and Public Works,og0001,Kazi Kader Newaz,Assistant Engineer,pp0006,"Supply, Installation, Testing & Commissioning of 2x400 KVA Diesel Generator & Solar Panel System Work at CDA SQUARE Project.",Pd/cdasqr/generator/e56,1,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,Own Fund Own fund,supplier,0,yes,"Supply, Installation, Testing & Commissioning of 2x400 KVA Diesel Generator & Solar Panel System Work at CDA SQUARE Project.",Pd/cdasqr/57/384,yes,24792000.192,24792000.192,2024-04-29,yes,2024-05-16,4,2,5,Ocean Electrical Limited,co0275,"Charpatherghata, Azim Para, Karnaphulli, Chittagong.",1,,2024-06-27,"Nasirabad, Chattogram",2024-03-24,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196756,Own Fund,"Site preparation work; Construction work; Building demolition and wrecking work and earthmoving work; Test drilling and boring work; Engineering works and construction works; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Works for complete or part construction and civil engineering work; Construction work for water projects; Roof works and other special trade construction works; Works for complete or part construction and civil engineering work; Building installation work; Electrical installation work; Insulation work; Plumbing and sanitary works; Fencing, railing and safety equipment installation work; Mechanical installations; Building completion work; Construction work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work",Chittagong,2024-02-28,Bangladesh,,Chattogram,Chattogram,1000,1000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1039,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,EXEN/OFFICE/E-106/233,A. H. M. Mesbah Uddin,Project Director,pp0024,2024-02-27,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_945416.pdf,2,2024-02-28,"Renovation of Dormitory & Pump house extension and other related works at CDA Building, Chattogram.",EXEN/OFFICE/I-106/01,Payment through Bank,031-624401,2024-02-19,2024-02-11,Works,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2024-02-11,2024-02-28,2024-06-25,Own Fund,Contract Awarded,Contract Awarded,945416,2024-05-28,Chattogram City Corporation,2024-02-11,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_945416.pdf,Works,EXEN/OFFICE/E-106/233,OTM,Ministry of Housing and Public Works,og0001,A. H. M. Mesbah Uddin,Project Director,pp0024,"Renovation of Dormitory & Pump house extension and other related works at CDA Building, Chattogram.",EXEN/OFFICE/I-106/01,1,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Renovation of Dormitory & Pump house extension and other related works at CDA Building, Chattogram.",EXEN/OFFICE/E-106/240,yes,1867479.381,1867479.381,2024-03-28,yes,2024-04-04,2,2,2,M/S. Gulzar Trading,co0142,"Hazi Monsur Ali Road, Mia Khan Nagar, Chittagong.",1,,2024-03-30,"CDA Building, Court Road, Kotowali, Chattogram",2024-03-01,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196756,Own Fund,"Works for complete or part construction and civil engineering work; Construction work; Building construction work; Engineering works and construction works; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Construction work for water projects; Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry; Roof works and other special trade construction works;",Chittagong,2024-02-29,Bangladesh,,Chattogram,Chattogram,1000,1000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1036,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,EXEN/office/building/E-111/234,A. H. M. Mesbah Uddin,Project Director,pp0024,2024-02-28,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_945875.pdf,2,2024-02-29,"Construction of store room for planning division and toilet block at cda office building(4th floor), Chattogram.",EXEN/office/building/E-111,Payment through Bank,031-624401,2024-02-20,2024-02-15,Works,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2024-02-15,2024-02-29,2024-06-26,Own Fund,Contract Awarded,Contract Awarded,945875,2024-05-29,Chattogram City Corporation,2024-02-15,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_945875.pdf,Works,EXEN/office/building/E-111/234,OTM,Ministry of Housing and Public Works,og0001,A. H. M. Mesbah Uddin,Project Director,pp0024,"Construction of store room for planning division and toilet block at cda office building(4th floor), Chattogram.",EXEN/office/building/E-111,1,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Construction of store room for planning division and toilet block at cda office building(4th floor), Chattogram.",EXEN/office/building/E-111/241,yes,1263578.184,1263578.184,2024-03-28,yes,2024-04-03,2,1,2,The Gausia Metalic Products,co0292,"77, Nowab Sirajuddullah Road, Dewan Bazar, Kotwali, Chittagong.",1,,2024-04-16,cda office building 4th floor Chattogram,2024-03-18,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196376,Own Fund,"Coal gas or similar gases; Manufactured gas; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;",Chittagong,2024-03-12,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,864,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/egas/e56/363,Kazi Kader Newaz,Assistant Engineer,pp0006,2024-03-11,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_954661.pdf,2,2024-03-12,Supply & Installing Reticulation System & Supplying LPG Gas Connection Work at CDA SQUARE Project.,PD/CDAsqr/egas/e55,Payment through Bank,031-625562,2024-03-04,2024-02-25,Works,NCT,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",CDA Square-02,pr0005,2024-02-25,2024-03-12,2024-07-08,Own fund,Contract Awarded,Contract Awarded,954661,2024-06-10,Kotowali,2024-02-25,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_954661.pdf,Works,PD/CDASQR/egas/e56/363,OTM,Ministry of Housing and Public Works,og0001,Kazi Kader Newaz,Assistant Engineer,pp0006,Supply & Installing Reticulation System & Supplying LPG Gas Connection Work at CDA SQUARE Project.,PD/CDAsqr/egas/e55,1,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,Own Fund Own fund,supplier,0,yes,Supply & Installing Reticulation System & Supplying LPG Gas Connection Work at CDA SQUARE Project.,pd/cdasqr/egas/e56/385,yes,2445000.120,2445000.12,2024-04-29,yes,2024-05-16,1,1,1,BM Energy (BD) limited,co0295,"Alinagar, Barabkunda, Sitakunda",1,,2024-06-27,"Nasirabad, Chattogram",2024-03-22,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,202059,Development,Site preparation work; Construction work; Building demolition and wrecking work and earthmoving work; Test drilling and boring work; Engineering works and construction works;,Chittagong,2024-04-25,Bangladesh,,Chattogram,Chattogram,4000,4000,no,experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1147,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,CD2/CP1/E-1/23-24,Md. Shamim,Executive Engineer,pp0121,2024-04-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_959962.pdf,2,2024-04-25,Development Work of Shahid Nahid Ahmed Sohel Smriti Road.,CD2/PW1,Payment through Bank,031-619956,2024-04-03,2024-03-28,Works,NCT,Construction Division-2,2003,og0084,Widening and Development of Important Roads of Chattogram City Cluster Project- 1,13201-01-22430089700,pr0088,2024-03-28,2024-04-24,2024-08-21,Government,Contract Awarded,Contract Awarded,959962,2024-07-24,Chattogram City Corporation,2024-03-28,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_959962.pdf,Works,CD2/CP1/E-1/23-24,OTM,Ministry of Housing and Public Works,og0001,Md. Shamim,Executive Engineer,pp0121,Development Work of Shahid Nahid Ahmed Sohel Smriti Road,CD2/PW1,1,Construction Division-2,2003,og0084,Widening and Development of Important Roads of Chattogram City Cluster Project-1,pr0088,Development Government,supplier,0,yes,Development Work of Shahid Nahid Ahmed Sohel Smriti Road,CD2/ClusterProject-01/e-Tender/03/72,yes,100790743.232,100790743.232,2024-05-20,yes,2024-05-30,2,2,3,"RNYB Ltd. - EBL - Alif JV. ( JVCA Partners [Business Share]: Escape Bangladesh Limited [25.000%] , RN Yakub & Brothers Private Limited. [40.000%] , Alif Enterprise [35.000%] )",co0298,"Azad Bhaban (6th floor), Jamal khan Road, Ctg.",1,,2025-05-30,"Shershah, Baizid, Chattogram.",2024-06-25,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,200566,Own Fund,"Iron and steel products; Basic metals and associated products; Aluminium and aluminium products; Tools; Cutlery, tools, locks, keys and hinges; Locks, keys and hinges; Fencing, railing and safety equipment installation work; Building installation work;Cold drawn products;Cold-rolled products;Folded products;Wire and miscellaneous products;Ferro-alloys;Unwrought aluminium;Aluminium products;Waste and scrap of aluminium",Chittagong,2024-04-09,Bangladesh,,Chattogram,Chattogram,1000,1000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1051,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,SE2/Saltgola Shopping/E-52/46,A A M Habibur Rahman,Superintending Engineer,pp0020,2024-04-08,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_965239.pdf,2,2024-04-09,"Supply, fixing and fixing of tempered glass swing door, glass curtain wall with S.S, M.S and Aluminiun frame at CDA Saltgola Shopping Mall, Chattogram.",SE2/Saltgola Shopping/E-52/02,Payment through Bank,031-2853900,2024-03-27,2024-03-24,Works,NCT,Superintending Engineer-2,,og0079,Not applicable,Not applicable,pr0093,2024-03-24,2024-04-09,2024-08-05,Own Fund,Contract Awarded,Contract Awarded,965239,2024-07-08,Chattogram City Corporation,2024-03-24,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_965239.pdf,Works,SE2/Saltgola Shopping/E-52/46,OTM,Ministry of Housing and Public Works,og0001,A A M Habibur Rahman,Superintending Engineer,pp0020,"Supply Fittings and Fixing Of Tempered Glass swing door, Glass Curtain Wall with S.S, M.S and Aluminium Frame at CDA Saltgola Shopping Mall, Chattogram.",SE2/Saltgola Shopping/E-52/02,1,Superintending Engineer-2,,og0079,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Supply Fittings and Fixing Of Tempered Glass swing door, Glass Curtain Wall with S.S, M.S and Aluminium Frame at CDA Saltgola Shopping Mall, Chattogram.",SE2/Saltgola Shopping/E-52/53,yes,2678023.363,2678023.363,2024-04-24,yes,2024-05-08,3,3,3,M/s.Suraim Enterprise,co0205,"152, Alkoron Road, Sadaghat, Chittagong",1,,2024-05-01,Saltgola Chattogram,2024-04-16,yes,yes,award notice
