"tender_id","agency","procuring_entity","package_description","record_type","bidder_name","bidder_name_normalised","bid_amount","responsive_status","qualified_status","technical_status","rejection_reason","rejected_requirement","beneficial_owner_name","ownership_percentage","owner_country","source_file","page_number","evidence_excerpt","note"
"1128572","CDA","Project Director(M.Uddin), Chittagong Development Authority","Installation of Gas pipe line connection works for installation of prepaid meter at CDA hill, CDA office, Mehedibag CDA staff Quarter Chattogram.","AWARDED_BIDDER","M/S. Haroon & Brothers","HAROON BROTHERS","1875002.61","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1128572.pdf","1","Contract Value (Taka): 1875002.61; Name of Supplier/Contractor/Consultant: M/S. Haroon & Brothers","bid amount equals the awarded contract value as printed on the award notice"
"1128572","CDA","Project Director(M.Uddin), Chittagong Development Authority","Installation of Gas pipe line connection works for installation of prepaid meter at CDA hill, CDA office, Mehedibag CDA staff Quarter Chattogram.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_1128572.pdf","1","Received: 3; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 2 bidder(s)"
"114570","CDA","Project Director (MehedibagSQ)","Renovation and other work of 07no building at CDA Mehedibag staff Quarter","AWARDED_BIDDER","M/S. R S A TRADE INTERNATIONAL","R S A TRADE INTERNATIONAL","4197894.52","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_114570.pdf","1","Contract Value (Taka): 4197894.52; Name of Supplier/Contractor/Consultant: M/S. R S A TRADE INTERNATIONAL","bid amount equals the awarded contract value as printed on the award notice"
"114570","CDA","Project Director (MehedibagSQ)","Renovation and other work of 07no building at CDA Mehedibag staff Quarter","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_114570.pdf","1","Received: 15; Responsive: 4 (difference is the rejected count)","count is derived as received minus responsive; 11 bidder(s)"
"1231413","CDA","Management Information System (MIS)","Supply and Installation of 64 battery and related works","AWARDED_BIDDER","B & S ENGINEERING","B S ENGINEERING","2054979.68","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1231413.pdf","1","Contract Value (Taka): 2054979.68; Name of Supplier/Contractor/Consultant: B & S ENGINEERING","bid amount equals the awarded contract value as printed on the award notice"
"1231413","CDA","Management Information System (MIS)","Supply and Installation of 64 battery and related works","DISCLOSED_BENEFICIAL_OWNER_OF_WINNER","B & S ENGINEERING","B S ENGINEERING","","","","","","","MD. ABDUL BARI                                 Proprietor","100.00","","Tender_1231413.pdf","1","Beneficial Ownership Information row: MD. ABDUL BARI                                 Proprietor, 100.00%,","printed on the award notice under ITT 68.1 / Format e-PG3A-C"
"1267626","CDA","Management Information System (MIS)","Procurement of toner for printers of different department of CDA","AWARDED_BIDDER","Fatema Construction BD","FATEMA CONSTRUCTION BD","579500.00","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1267626.pdf","1","Contract Value (Taka): 579500.00; Name of Supplier/Contractor/Consultant: Fatema Construction BD","bid amount equals the awarded contract value as printed on the award notice"
"1267626","CDA","Management Information System (MIS)","Procurement of toner for printers of different department of CDA","DISCLOSED_BENEFICIAL_OWNER_OF_WINNER","Fatema Construction BD","FATEMA CONSTRUCTION BD","","","","","","","MD. NAZIM UDDIN","100.00","","Tender_1267626.pdf","1","Beneficial Ownership Information row: MD. NAZIM UDDIN, 100.00%,","printed on the award notice under ITT 68.1 / Format e-PG3A-C"
"15000","CDA","Grid Maintenance Division, Comilla","4 nos IP based security surveillance system camera supply and commissioning at Comilla (N) 230 kv Grid Substation under GMD, Comilla.","AWARDED_BIDDER","OptiNet","OPTINET","280119.68","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_15000.pdf","1","Contract Value (Taka): 280119.68; Name of Supplier/Contractor/Consultant: OptiNet","bid amount equals the awarded contract value as printed on the award notice"
"189939","CDA","Project Director (Muradpur Flyover)","Beautification work from Lalkanbazar to Hotel Peninsula under construction of flyover at Muradpur gate no.-2 & Gec junction chittagong.","AWARDED_BIDDER","M/S. R.S. Enterprise","R S ENTERPRISE","25693375.03","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_189939.pdf","1","Contract Value (Taka): 25693375.03; Name of Supplier/Contractor/Consultant: M/S. R.S. Enterprise","bid amount equals the awarded contract value as printed on the award notice"
"189939","CDA","Project Director (Muradpur Flyover)","Beautification work from Lalkanbazar to Hotel Peninsula under construction of flyover at Muradpur gate no.-2 & Gec junction chittagong.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_189939.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"189944","CDA","Project Director (Muradpur Flyover)","Beautification work from Hotel Peninsula to N Mohammed convention center under construction of flyover at Muradpur gate no.-2 & Gec junction chittagong.","AWARDED_BIDDER","M/S. AS - RAS Trading (JV)","AS RAS TRADING","79537860.01","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_189944.pdf","1","Contract Value (Taka): 79537860.01; Name of Supplier/Contractor/Consultant: M/S. AS - RAS Trading (JV) ( JVCA Partners [Business Share]: M/S. Abdus Salam [0.000%] , M/S RASHIA&SONS TRADING [0.000%] )","bid amount equals the awarded contract value as printed on the award notice"
"189944","CDA","Project Director (Muradpur Flyover)","Beautification work from Hotel Peninsula to N Mohammed convention center under construction of flyover at Muradpur gate no.-2 & Gec junction chittagong.","JV_PARTNER_OF_WINNER","M/S. Abdus Salam","ABDUS SALAM","","responsive_as_part_of_the_winning_joint_venture","qualified_as_part_of_the_joint_venture","","","","","NOT_PUBLISHED_PRINTED_AS_0.000","","Tender_189944.pdf","1","JVCA Partners [Business Share]: M/S. Abdus Salam [0.000%]","the portal printed a 0.000% share, so no value is attributed"
"189944","CDA","Project Director (Muradpur Flyover)","Beautification work from Hotel Peninsula to N Mohammed convention center under construction of flyover at Muradpur gate no.-2 & Gec junction chittagong.","JV_PARTNER_OF_WINNER","M/S RASHIA&SONS TRADING","RASHIA SONS TRADING","","responsive_as_part_of_the_winning_joint_venture","qualified_as_part_of_the_joint_venture","","","","","NOT_PUBLISHED_PRINTED_AS_0.000","","Tender_189944.pdf","1","JVCA Partners [Business Share]: M/S RASHIA&SONS TRADING [0.000%]","the portal printed a 0.000% share, so no value is attributed"
"192714","CDA","Management Information System (MIS)","Supply of Computer Accessories Battery for APC 20 KV Online UPS Harddisk for Dell Server & Air Conditioner for Power Station Room & Server Room for CDA.","AWARDED_BIDDER","Smart Digital Technologies","SMART DIGITAL TECHNOLOGIES","1480801.07","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_192714.pdf","1","Contract Value (Taka): 1480801.07; Name of Supplier/Contractor/Consultant: Smart Digital Technologies","bid amount equals the awarded contract value as printed on the award notice"
"192714","CDA","Management Information System (MIS)","Supply of Computer Accessories Battery for APC 20 KV Online UPS Harddisk for Dell Server & Air Conditioner for Power Station Room & Server Room for CDA.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_192714.pdf","1","Received: 4; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 3 bidder(s)"
"200650","CDA","Project Director(Silimpur)","Construction of the road and drain work at CDA Silimpur Residential Area Extension East at Silimpur Chittagong.","AWARDED_BIDDER","M/S. Raquib & Brothers","RAQUIB BROTHERS","21090113.16","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_200650.pdf","1","Contract Value (Taka): 21090113.16; Name of Supplier/Contractor/Consultant: M/S. Raquib & Brothers","bid amount equals the awarded contract value as printed on the award notice"
"200650","CDA","Project Director(Silimpur)","Construction of the road and drain work at CDA Silimpur Residential Area Extension East at Silimpur Chittagong.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_200650.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"201012","CDA","Project Director(Silimpur)","Supplying Fitting Fixing & laying natural gas connection and construction of 150 mm dia water supply line at Silimpur proposed CDA housing plot Sitakundo Chittagong.","AWARDED_BIDDER","M/S Habib Enterprise","HABIB ENTERPRISE","8525749.69","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_201012.pdf","1","Contract Value (Taka): 8525749.69; Name of Supplier/Contractor/Consultant: M/S Habib Enterprise","bid amount equals the awarded contract value as printed on the award notice"
"201451","CDA","Project Director(Silimpur)","Electrification work at proposed CDA Silimpur Residential Area East","AWARDED_BIDDER","M/S Habib Enterprise","HABIB ENTERPRISE","6827889.19","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_201451.pdf","1","Contract Value (Taka): 6827889.19; Name of Supplier/Contractor/Consultant: M/S Habib Enterprise","bid amount equals the awarded contract value as printed on the award notice"
"212401","CDA","Project Division","Maintenance Renovation & Ancillary work of CDA Banani Rest House at Dhaka","AWARDED_BIDDER","M/S. Raquib & Brothers","RAQUIB BROTHERS","7370590.50","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_212401.pdf","1","Contract Value (Taka): 7370590.50; Name of Supplier/Contractor/Consultant: M/S. Raquib & Brothers","bid amount equals the awarded contract value as printed on the award notice"
"215555","CDA","Project Director (Muradpur Flyover)","Supply and installation of 03 Nos 100kva 11/0.4 kv outdoor substation In line & other related works for Aktharuzzaman Flyovers PDB line connection under the project of construction of Flyover at Muradpur gate no.2 & GEC Junction.","AWARDED_BIDDER","M/s. Sohel Incorporation","SOHEL INCORPORATION","5058783.36","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_215555.pdf","1","Contract Value (Taka): 5058783.36; Name of Supplier/Contractor/Consultant: M/s. Sohel Incorporation","bid amount equals the awarded contract value as printed on the award notice"
"223246","CDA","Project Director (CDA Square)","Construction of 18 storied & 19 storied residential building with basement pile capMat foundation underground basement Water tank Septic tank Super structuredeep tube-wells Internal Sanitary and plumbing workWater Supply Gas Connection internal elect","AWARDED_BIDDER","M Jamal & Company Limited","M JAMAL COMPANY LTD","632060295.57","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_223246.pdf","1","Contract Value (Taka): 632060295.57; Name of Supplier/Contractor/Consultant: M Jamal & Company Limited","bid amount equals the awarded contract value as printed on the award notice"
"223246","CDA","Project Director (CDA Square)","Construction of 18 storied & 19 storied residential building with basement pile capMat foundation underground basement Water tank Septic tank Super structuredeep tube-wells Internal Sanitary and plumbing workWater Supply Gas Connection internal elect","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_223246.pdf","1","Received: 3; Responsive: 2 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"234888","CDA","Project Director(M.Uddin)","Painting weather Coat and related works outer side of CDA Annex building","AWARDED_BIDDER","M/S. Gulzar Trading","GULZAR TRADING","1321574.08","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_234888.pdf","1","Contract Value (Taka): 1321574.08; Name of Supplier/Contractor/Consultant: M/S. Gulzar Trading","bid amount equals the awarded contract value as printed on the award notice"
"234888","CDA","Project Director(M.Uddin)","Painting weather Coat and related works outer side of CDA Annex building","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_234888.pdf","1","Received: 5; Responsive: 3 (difference is the rejected count)","count is derived as received minus responsive; 2 bidder(s)"
"235131","CDA","Project Director(M.Uddin)","Painting weather Coat and related works outer wall of CDA office building","AWARDED_BIDDER","M/S. S.K. Traders & Suppliers","S K TRADERS SUPPLIERS","2070872.24","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_235131.pdf","1","Contract Value (Taka): 2070872.24; Name of Supplier/Contractor/Consultant: M/S. S.K. Traders & Suppliers","bid amount equals the awarded contract value as printed on the award notice"
"235131","CDA","Project Director(M.Uddin)","Painting weather Coat and related works outer wall of CDA office building","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_235131.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"235166","CDA","Project Director(M.Uddin)","Construction of Raising Floor and necessary work for Building No- 04 and 09 of CDA mehedibag Staff Quarter","AWARDED_BIDDER","M/S. National Builders","NATIONAL BUILDERS","2109152.80","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_235166.pdf","1","Contract Value (Taka): 2109152.80; Name of Supplier/Contractor/Consultant: M/S. National Builders","bid amount equals the awarded contract value as printed on the award notice"
"303865","CDA","Project Director(Mohammad Hasan)","RCC work Brick wall tiles terracota and related works","AWARDED_BIDDER","M/S. Mohshin & Brothers","MOHSHIN BROTHERS","4703277.86","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_303865.pdf","1","Contract Value (Taka): 4703277.86; Name of Supplier/Contractor/Consultant: M/S. Mohshin & Brothers","bid amount equals the awarded contract value as printed on the award notice"
"309557","CDA","Project Director(M.Uddin)","Maintenance and other related works of CDA hill Banglow No.-02","AWARDED_BIDDER","M/S. Gulzar Trading","GULZAR TRADING","2990847.65","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_309557.pdf","1","Contract Value (Taka): 2990847.65; Name of Supplier/Contractor/Consultant: M/S. Gulzar Trading","bid amount equals the awarded contract value as printed on the award notice"
"342502","CDA","Project Director(Rajib Das)","Maintenance work of Oxyzen quaish Road","AWARDED_BIDDER","S. Ananta - Abdus Salam (JV)","S ANANTA ABDUS SALAM","70658480.50","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_342502.pdf","1","Contract Value (Taka): 70658480.50; Name of Supplier/Contractor/Consultant: S. Ananta - Abdus Salam (JV) ( JVCA Partners [Business Share]: M/S. Abdus Salam [49.000%] , S. Ananta Bikash Tripura [51.000%] )","bid amount equals the awarded contract value as printed on the award notice"
"342502","CDA","Project Director(Rajib Das)","Maintenance work of Oxyzen quaish Road","JV_PARTNER_OF_WINNER","M/S. Abdus Salam","ABDUS SALAM","34622655.45","responsive_as_part_of_the_winning_joint_venture","qualified_as_part_of_the_joint_venture","","","","","49.000","","Tender_342502.pdf","1","JVCA Partners [Business Share]: M/S. Abdus Salam [49.000%]","bid_amount here is the partner's declared share of the contract value, not a separately published bid"
"342502","CDA","Project Director(Rajib Das)","Maintenance work of Oxyzen quaish Road","JV_PARTNER_OF_WINNER","S. Ananta Bikash Tripura","S ANANTA BIKASH TRIPURA","36035825.06","responsive_as_part_of_the_winning_joint_venture","qualified_as_part_of_the_joint_venture","","","","","51.000","","Tender_342502.pdf","1","JVCA Partners [Business Share]: S. Ananta Bikash Tripura [51.000%]","bid_amount here is the partner's declared share of the contract value, not a separately published bid"
"342502","CDA","Project Director(Rajib Das)","Maintenance work of Oxyzen quaish Road","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_342502.pdf","1","Received: 8; Responsive: 4 (difference is the rejected count)","count is derived as received minus responsive; 4 bidder(s)"
"360423","CDA","Project Director(M.Uddin)","Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA Building.","AWARDED_BIDDER","M/S. Gulzar Trading","GULZAR TRADING","3555766.80","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_360423.pdf","1","Contract Value (Taka): 3555766.80; Name of Supplier/Contractor/Consultant: M/S. Gulzar Trading","bid amount equals the awarded contract value as printed on the award notice"
"360423","CDA","Project Director(M.Uddin)","Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA Building.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_360423.pdf","1","Received: 4; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 3 bidder(s)"
"387658","CDA","Project Director(M.Uddin)","Installation Of Water Treatment Plant with Shed and Other related Works at CDA Hill.","AWARDED_BIDDER","M/S. Nice Enterprise","NICE ENTERPRISE","1018755.63","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_387658.pdf","1","Contract Value (Taka): 1018755.63; Name of Supplier/Contractor/Consultant: M/S. Nice Enterprise","bid amount equals the awarded contract value as printed on the award notice"
"387658","CDA","Project Director(M.Uddin)","Installation Of Water Treatment Plant with Shed and Other related Works at CDA Hill.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_387658.pdf","1","Received: 3; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 2 bidder(s)"
"398199","CDA","Electrical & Mechanical Engineering (EME)","Supply Installation Testing and commissioning of 400KVA Sub station at CDA office Building","AWARDED_BIDDER","M/s Anas Trading International","ANAS TRADING INTERNATIONAL","4787600.82","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_398199.pdf","1","Contract Value (Taka): 4787600.82; Name of Supplier/Contractor/Consultant: M/s Anas Trading International","bid amount equals the awarded contract value as printed on the award notice"
"398199","CDA","Electrical & Mechanical Engineering (EME)","Supply Installation Testing and commissioning of 400KVA Sub station at CDA office Building","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_398199.pdf","1","Received: 10; Responsive: 4 (difference is the rejected count)","count is derived as received minus responsive; 6 bidder(s)"
"409461","CDA","Electrical & Mechanical Engineering (EME)","Supply Installation Testing and commissioning of 300KVA Stand-by Generator at CDA office Building","AWARDED_BIDDER","Dulal Enterprise (Pvt) Ltd.","DULAL ENTERPRISE LTD","4399000.04","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_409461.pdf","1","Contract Value (Taka): 4399000.04; Name of Supplier/Contractor/Consultant: Dulal Enterprise (Pvt) Ltd.","bid amount equals the awarded contract value as printed on the award notice"
"409461","CDA","Electrical & Mechanical Engineering (EME)","Supply Installation Testing and commissioning of 300KVA Stand-by Generator at CDA office Building","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_409461.pdf","1","Received: 10; Responsive: 3 (difference is the rejected count)","count is derived as received minus responsive; 7 bidder(s)"
"410561","CDA","Project Director(M.Uddin)","Renewing of fencing around Banglow No. -2 Footpath Tiles and other related works at CDA Hill.","AWARDED_BIDDER","M/S. Khaja G.N Enterpriser","KHAJA G N ENTERPRISER","1876490.29","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_410561.pdf","1","Contract Value (Taka): 1876490.29; Name of Supplier/Contractor/Consultant: M/S. Khaja G.N Enterpriser","bid amount equals the awarded contract value as printed on the award notice"
"410561","CDA","Project Director(M.Uddin)","Renewing of fencing around Banglow No. -2 Footpath Tiles and other related works at CDA Hill.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_410561.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"423315","CDA","Management Information System (MIS)","Maintenance and Support work for CDA IT System","AWARDED_BIDDER","Innovative Online Ltd.","INNOVATIVE ONLINE LTD","3910680.01","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_423315.pdf","1","Contract Value (Taka): 3910680.01; Name of Supplier/Contractor/Consultant: Innovative Online Ltd.","bid amount equals the awarded contract value as printed on the award notice"
"427246","CDA","Project Director(M.Uddin)","Thai Partition and others Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.","AWARDED_BIDDER","M/S. Gulzar Trading","GULZAR TRADING","844233.61","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_427246.pdf","1","Contract Value (Taka): 844233.61; Name of Supplier/Contractor/Consultant: M/S. Gulzar Trading","bid amount equals the awarded contract value as printed on the award notice"
"427246","CDA","Project Director(M.Uddin)","Thai Partition and others Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_427246.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"42800","CDA","Office of the Executive Engineer, LGED, Chittagong","Development of Upazila H/Q to Gondamara UP Office Road (Dack Bangla-Gandamara UP to Mattabar Para Road) (Remaining Work) by BC at Ch: 3100m-4000m; Upazila: Banskhali, District: Chittagong (Road ID : 415083003).","AWARDED_BIDDER","M/S. Al-Arif Enterprise","AL ARIF ENTERPRISE","3923174.10","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_42800.pdf","1","Contract Value (Taka): 3923174.10; Name of Supplier/Contractor/Consultant: M/S. Al-Arif Enterprise","bid amount equals the awarded contract value as printed on the award notice"
"436738","CDA","Project Director (Saltgola)","Supply installation testing and commissioning of fire protection system Hydrent System of CDA Saltgola Shopping Mall","AWARDED_BIDDER","ELECTROMECH AUTOMATION SERVICES LTD","ELECTROMECH AUTOMATION SERVICES LTD","2656104.94","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_436738.pdf","1","Contract Value (Taka): 2656104.94; Name of Supplier/Contractor/Consultant: ELECTROMECH AUTOMATION SERVICES LTD","bid amount equals the awarded contract value as printed on the award notice"
"436738","CDA","Project Director (Saltgola)","Supply installation testing and commissioning of fire protection system Hydrent System of CDA Saltgola Shopping Mall","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_436738.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"501707","CDA","Construction Division-3","Repair and Maintenance work for Building No-01 at Sholoshohor Staff quarter","AWARDED_BIDDER","M/S. Gulzar Trading","GULZAR TRADING","2617523.06","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_501707.pdf","1","Contract Value (Taka): 2617523.06; Name of Supplier/Contractor/Consultant: M/S. Gulzar Trading","bid amount equals the awarded contract value as printed on the award notice"
